station_id,n_active_seasons,coverage,first_active,last_active,max_gap_seasons,median_obs,min_obs,max_obs,cv_obs,n_seasons_any_obs,ok_coverage,ok_gap,ok_starts_early,ok_ends_late,ok_density,ok_stability,selected,fail_reasons,period,n_seasons_in_period,station_name,latitude,longitude,elevation_m
0-20000-0-11787,59,1.0,1966.0,2024.0,0,24.0,16.0,26.0,0.09020497562975094,59,True,True,True,True,True,True,True,,1966-2025,59,Lysá hora,49.546111,18.4475,1322.03
0-20000-0-11457,59,1.0,1966.0,2024.0,0,23.0,17.0,26.0,0.08921742540866964,59,True,True,True,True,True,True,True,,1966-2025,59,Churáňov,49.068333,13.615278,1117.8
0-203-0-10801005002,58,0.9830508474576272,1967.0,2024.0,1,24.5,12.0,26.0,0.10937937854659506,58,True,True,True,True,True,True,True,,1966-2025,59,Filipova Huť,49.0298283,13.5197133,1110.0
0-203-0-10601011001,59,1.0,1966.0,2024.0,0,22.0,13.0,26.0,0.13897865596659223,59,True,True,True,True,True,True,True,,1966-2025,59,Borová Lada,48.99055,13.661958,898.0
0-20000-0-11464,58,0.9830508474576272,1966.0,2024.0,1,20.0,11.0,26.0,0.18718759309425653,59,True,True,True,True,True,True,True,,1966-2025,59,Milešovka,50.555,13.93083,830.5
0-203-0-10601050001,59,1.0,1966.0,2024.0,0,23.0,13.0,26.0,0.15722820362408024,59,True,True,True,True,True,True,True,,1966-2025,59,Stožec,48.8570531,13.8217247,797.0
0-203-0-11644,58,0.9830508474576272,1966.0,2024.0,1,23.0,14.0,26.0,0.12473091295931361,59,True,True,True,True,True,True,True,,1966-2025,59,Benecko,50.6713,15.5499,780.0
0-203-0-11602,54,0.9152542372881356,1966.0,2024.0,3,21.0,11.0,26.0,0.1637048548609701,59,True,True,True,True,True,True,True,,1966-2025,59,Bedřichov,50.81511,15.13708,777.0
0-203-0-20202005001,55,0.9322033898305084,1966.0,2024.0,3,20.0,10.0,26.0,0.18630271293971792,57,True,True,True,True,True,True,True,,1966-2025,59,Malá Morávka  Karlov,50.025278,17.259444,775.0
0-203-0-20201004001,55,0.9322033898305084,1967.0,2024.0,1,23.0,11.0,26.0,0.14920176507405733,59,True,True,True,True,True,True,True,,1966-2025,59,Vidly,50.1056,17.2717,774.0
0-203-0-20301001001,55,0.9322033898305084,1966.0,2024.0,2,23.0,16.0,26.0,0.11119093271112361,56,True,True,True,True,True,True,True,,1966-2025,59,Bílá  Hlavatá,49.421292,18.37984,770.0
0-20000-0-11766,59,1.0,1966.0,2024.0,0,22.0,12.0,26.0,0.143828795993776,59,True,True,True,True,True,True,True,,1966-2025,59,Červená,49.777222,17.541944,748.13
0-20000-0-11423,58,0.9830508474576272,1966.0,2024.0,1,21.0,10.0,25.0,0.1850825591210349,59,True,True,True,True,True,True,True,,1966-2025,59,Přimda,49.669444,12.678056,742.76
0-203-0-10802017001,57,0.9661016949152542,1966.0,2024.0,1,21.0,10.0,26.0,0.14977994917999768,58,True,True,True,True,True,True,True,,1966-2025,59,Vacov  Peckov,49.1352075,13.7263994,738.0
0-203-0-10801069001,59,1.0,1966.0,2024.0,0,21.0,15.0,26.0,0.11606862969372334,59,True,True,True,True,True,True,True,,1966-2025,59,Čachrov,49.264136,13.301694,729.0
0-203-0-11793,57,0.9661016949152542,1966.0,2022.0,2,21.0,14.0,25.0,0.10533664040700415,58,True,True,True,True,True,True,True,,1966-2025,59,Bílá  Salajka,49.4132897,18.4206592,725.0
0-203-0-11685,57,0.9661016949152542,1966.0,2024.0,2,20.0,11.0,25.0,0.15735246456834753,59,True,True,True,True,True,True,True,,1966-2025,59,Nedvězí,49.6344,16.3097,722.0
