station_id,n_active_seasons,coverage,first_active,last_active,max_gap_seasons,median_obs,min_obs,max_obs,cv_obs,n_seasons_any_obs,ok_coverage,ok_gap,ok_starts_early,ok_ends_late,ok_density,ok_stability,selected,fail_reasons,period,n_seasons_in_period,station_name,latitude,longitude,elevation_m
0-203-0-11303115902,64,0.927536231884058,1956.0,2024.0,2,20.0,10.0,25.0,0.19424122865522092,69,True,True,True,True,True,True,True,,1956-2025,69,Chomutov,50.46225,13.39711,362.0
0-203-0-11401056001,63,0.9130434782608695,1957.0,2023.0,2,22.0,11.0,26.0,0.15955568948935406,68,True,True,True,True,True,True,True,,1956-2025,69,Hrob  Křižanov,50.654,13.71953,360.0
0-203-0-11762,63,0.9130434782608695,1957.0,2024.0,2,21.0,10.0,26.0,0.23387344769397475,68,True,True,True,True,True,True,True,,1956-2025,69,Krnov,50.078,17.6922,360.0
0-203-0-11003072001,68,0.9855072463768116,1956.0,2024.0,1,23.0,11.0,26.0,0.13469600324743172,69,True,True,True,True,True,True,True,,1956-2025,69,Lužany,49.54908,13.317522,358.0
0-203-0-11501049001,66,0.9565217391304348,1958.0,2024.0,2,23.0,12.0,26.0,0.13372347962374423,67,True,True,True,True,True,True,True,,1956-2025,69,Šluknov,51.002722,14.45525,352.0
0-203-0-11302052001,68,0.9855072463768116,1956.0,2024.0,1,23.0,14.0,26.0,0.13518978909902635,69,True,True,True,True,True,True,True,,1956-2025,69,Šemnice  Radošov,50.277061,12.994221,351.0
0-203-0-20101096001,68,0.9855072463768116,1956.0,2024.0,1,23.0,10.0,26.0,0.16319426520472508,69,True,True,True,True,True,True,True,,1956-2025,69,Fulnek  Kostelec,49.7235,17.93251,340.0
0-203-0-11101060001,68,0.9855072463768116,1956.0,2024.0,1,23.0,16.0,26.0,0.11574882905860984,69,True,True,True,True,True,True,True,,1956-2025,69,Hromnice,49.848142,13.445309,336.0
0-203-0-11001186001,68,0.9855072463768116,1956.0,2024.0,1,23.0,15.0,26.0,0.11495531890061848,69,True,True,True,True,True,True,True,,1956-2025,69,Plzeň  Radčice,49.765499,13.323199,320.0
0-203-0-41002099001,64,0.927536231884058,1956.0,2024.0,3,21.0,11.0,26.0,0.17840707544730997,68,True,True,True,True,True,True,True,,1956-2025,69,Moravská Třebová  Bezděčí  Unerázka,49.7,16.7567,315.0
0-203-0-20101139001,64,0.927536231884058,1956.0,2024.0,2,22.0,10.0,26.0,0.18392539139279424,68,True,True,True,True,True,True,True,,1956-2025,69,Příbor,49.6403,18.1342,307.0
0-203-0-11765,69,1.0,1956.0,2024.0,0,23.0,11.0,26.0,0.14017635805420514,69,True,True,True,True,True,True,True,,1956-2025,69,Bělotín,49.5869,17.8042,306.0
0-203-0-20101147002,69,1.0,1956.0,2024.0,0,23.0,12.0,26.0,0.15683354096568078,69,True,True,True,True,True,True,True,,1956-2025,69,Hukvaldy  Rychaltice,49.6428,18.2208,292.0
0-203-0-20203023001,65,0.9420289855072463,1956.0,2024.0,2,23.0,10.0,26.0,0.1576431648367236,68,True,True,True,True,True,True,True,,1956-2025,69,Děhylov,49.8701994,18.1648678,292.0
0-203-0-20101069001,66,0.9565217391304348,1956.0,2024.0,3,22.0,12.0,26.0,0.15367105231384495,68,True,True,True,True,True,True,True,,1956-2025,69,Nový Jičín,49.6,18.031111,291.0
0-203-0-20101117001,63,0.9130434782608695,1956.0,2023.0,2,21.0,10.0,26.0,0.1743698965123327,65,True,True,True,True,True,True,True,,1956-2025,69,Bílovec,49.7617,17.9917,290.0
0-203-0-10502005001,64,0.927536231884058,1956.0,2024.0,3,22.0,11.0,26.0,0.1848886514718324,69,True,True,True,True,True,True,True,,1956-2025,69,Železný Brod,50.6408,15.2517,290.0
0-203-0-41003075001,65,0.9420289855072463,1956.0,2024.0,3,23.0,11.0,26.0,0.15623066728018953,67,True,True,True,True,True,True,True,,1956-2025,69,Šternberk,49.725,17.2986,278.0
0-203-0-11403025001,67,0.9710144927536232,1956.0,2024.0,1,23.0,10.0,26.0,0.16487792405861484,69,True,True,True,True,True,True,True,,1956-2025,69,Mimoň,50.65975,14.72494,278.0
0-203-0-20101153101,68,0.9855072463768116,1956.0,2024.0,1,22.0,12.0,26.0,0.12232003951343855,69,True,True,True,True,True,True,True,,1956-2025,69,Klimkovice,49.7844,18.1347,240.0
0-203-0-11781,67,0.9710144927536232,1956.0,2024.0,2,23.0,14.0,26.0,0.11766217570901323,67,True,True,True,True,True,True,True,,1956-2025,69,Bohumín  Záblatí,49.882,18.3692,237.0
