hydro_year,n_stations,mean_swe_obs_median,mean_swe_mod_median,mean_swe_obs_mean,mean_swe_mod_mean,mean_swe_djfm_obs_median,mean_swe_djfm_mod_median,mean_swe_djfm_obs_mean,mean_swe_djfm_mod_mean,mean_swe_snow_obs_median,mean_swe_snow_mod_median,mean_swe_snow_obs_mean,mean_swe_snow_mod_mean,max_swe_obs_median,max_swe_mod_median,max_swe_obs_mean,max_swe_mod_mean,dohy_max_obs_median,dohy_max_mod_median,dohy_max_obs_mean,dohy_max_mod_mean,dohy_first_snow_obs_median,dohy_first_snow_mod_median,dohy_first_snow_obs_mean,dohy_first_snow_mod_mean,dohy_last_snow_obs_median,dohy_last_snow_mod_median,dohy_last_snow_obs_mean,dohy_last_snow_mod_mean,snow_duration_obs_median,snow_duration_mod_median,snow_duration_obs_mean,snow_duration_mod_mean,n_snow_weeks_obs_median,n_snow_weeks_mod_median,n_snow_weeks_obs_mean,n_snow_weeks_mod_mean,swe_days_obs_median,swe_days_mod_median,swe_days_obs_mean,swe_days_mod_mean
1957,55,0.49795918367346936,0.795292261625,2.554152513806988,2.755253638883164,1.6266666666666665,2.5247490429119996,4.958496808746808,7.743718008874109,9.3,9.0692146,12.393987148102815,12.381138115758445,11.0,13.386444,16.061818181818182,20.63342200909091,65.0,65.0,79.32558139534883,69.58181818181818,58.0,51.0,49.86046511627907,40.945454545454545,86.0,121.0,98.20930232558139,106.87272727272727,28.0,63.0,48.348837209302324,65.92727272727272,3.0,5.0,3.709090909090909,6.1454545454545455,170.79999999999998,225.853405407,531.529090909091,791.5500227195298
1958,59,1.05,3.6196894179166663,8.75297837808644,9.033204042767883,4.427272727272728,12.6479326,17.45764065750357,20.075386737702036,11.016666666666666,16.24533135714286,25.74546078071588,22.77532976215594,14.9,34.630054,38.50847457627118,45.89681880508475,120.0,141.0,114.14285714285714,129.5344827586207,64.0,36.0,65.14285714285714,41.793103448275865,141.0,155.0,145.57142857142858,180.82758620689654,84.0,119.0,80.42857142857143,139.0344827586207,6.0,11.0,6.5423728813559325,10.35593220338983,352.80000000000007,991.9339373300003,1767.820338983051,1999.147851193144
1959,59,0.2708333333333333,0.8085740017999999,4.574223248196146,4.263586844883193,0.9285714285714286,3.5263718375,9.435476399223907,11.383348295112826,12.5,10.545819,22.421410533910535,16.84369490472842,8.4,14.300554,23.491525423728813,27.429758869491526,84.0,98.0,85.575,94.44067796610169,70.0,49.0,61.075,56.94915254237288,105.0,112.0,100.625,116.62711864406779,35.0,63.0,39.55,59.67796610169491,2.0,5.0,3.305084745762712,5.966101694915254,84.0,235.547725,811.4898305084746,993.0983277900764
1960,60,1.6050425531914894,2.801371836914286,5.477930182531187,6.244897685721422,5.970833333333333,10.009600449464285,10.786827787952786,15.791095863697127,15.765,15.13420114611111,22.157478144078144,23.23962180444675,19.35,23.759247,30.56833333333333,35.23595620733333,83.0,83.0,86.64,89.875,44.5,41.0,49.68,44.5,139.0,139.0,122.48,126.75,87.5,91.0,72.8,82.25,6.0,9.0,5.5,7.6,544.25,927.376431548,985.5416666666666,1423.79190058546
1961,59,0.5020408163265306,0.9937319670612245,1.5292012780937894,2.0893558581908445,1.64,3.24444762,4.667221550190144,6.692497673047354,8.041666666666666,10.821954666666665,13.63960792994884,14.286027554558098,8.0,15.419056,17.766101694915253,23.230987791186443,84.5,88.0,79.0909090909091,83.57894736842105,53.0,46.0,58.09090909090909,56.07017543859649,88.0,95.0,92.45454545454545,102.6140350877193,38.5,42.0,34.36363636363637,46.54385964912281,3.0,5.0,3.5762711864406778,5.169491525423729,172.20000000000002,345.048349429,452.9830508474576,688.9870591471865
1962,57,0.9285714285714286,1.5118208737083332,5.233614989537326,6.55352153879833,3.4143589743589744,6.13972091403547,13.796628770972259,21.023048327173317,10.274038461538462,9.193131041666666,22.31478862764828,22.77732004979988,14.6,20.736496,32.25087719298246,42.27637349122807,108.0,122.0,92.6304347826087,105.375,48.5,45.0,57.17391304347826,45.125,129.0,143.0,120.47826086956522,141.25,73.5,98.0,63.30434782608695,96.125,6.0,7.0,5.947368421052632,8.298245614035087,310.8,507.9718135659999,1259.864912280702,1925.0739775851316
1963,59,8.976744186046512,11.772817288372094,13.95746524850446,17.255340584022786,33.78235294117647,41.86979135,41.51881277385515,54.75578660250857,40.7724358974359,39.52094811111111,48.48584730856024,50.84191922263908,66.4,72.76048,79.17457627118644,81.03593508474576,114.0,114.0,107.67307692307692,118.50847457627118,37.0,23.0,40.63461538461539,39.13559322033898,142.0,149.0,132.30769230769232,146.5084745762712,94.5,112.0,91.67307692307692,107.37288135593221,13.0,15.0,10.94915254237288,13.322033898305085,2716.7000000000003,3582.1838227000003,4045.6796610169495,5310.412758372151
1964,61,1.0470588235294116,1.5547019823265307,3.1865366323243722,3.88617839169606,3.42,6.1601697363636365,9.852961691155858,13.371376955717682,8.819999999999999,9.364076087499999,14.860094432316655,15.414744992743422,12.7,16.504005,26.52622950819672,26.936475162295082,88.5,92.0,86.94444444444444,105.64406779661017,50.0,50.0,50.25925925925926,52.96610169491525,106.0,141.0,109.11111111111111,131.864406779661,63.0,91.0,58.851851851851855,78.89830508474576,7.0,9.0,6.721311475409836,9.327868852459016,316.40000000000003,494.62732928,938.9180327868852,1255.3124135002329
1965,62,4.734753901560625,7.972478823334246,10.765122231175658,12.628937325088753,16.52857142857143,31.60416564705882,28.49481790616434,39.62944087318046,30.81984126984127,36.75777657142857,42.695002205190114,43.83798509223253,54.75,70.019315,71.47741935483872,86.27214615640322,125.0,132.0,120.98148148148148,128.44262295081967,41.0,34.0,51.629629629629626,45.36065573770492,132.0,139.0,132.90740740740742,142.9016393442623,91.0,105.0,81.27777777777777,97.54098360655738,8.0,11.0,8.161290322580646,10.887096774193548,1657.25,2583.5048171730004,2947.6209677419356,3857.811508691996
1966,61,1.6392156862745098,1.7458422520408161,4.150316849024488,5.516087702063962,4.21875,5.1751235651375005,11.498395235162352,17.103912939881607,12.0125,11.242533809090908,20.273370784296805,20.579522876284287,18.3,19.688555,33.519672131147544,37.77503189311476,82.0,82.0,71.16981132075472,63.610169491525426,19.0,19.0,31.41509433962264,23.627118644067796,103.0,138.0,110.9245283018868,121.50847457627118,84.0,91.0,79.50943396226415,97.88135593220339,6.0,8.0,6.377049180327869,8.934426229508198,562.8000000000001,622.4972091953999,1236.004918032787,1703.818576334218
