station_id,station_name,latitude,longitude,elevation_m,obs_start,obs_end,n_valid_records,n_missing_records,total_records
0-203-0-10101015002,Frantova bouda  Strážné,50.6761,15.6308,780.0,2004-04-26 06:00:00+00:00,2011-11-28 06:00:00+00:00,278,2852,3130
0-203-0-10101019001,Dolní Dvůr  Rudolfov,50.654592,15.655815,560.0,1920-04-09 06:00:00+00:00,2025-12-29 06:00:00+00:00,2799,34808,37607
0-203-0-10101025001,Hostinné,50.5400231,15.7201375,351.0,1991-01-07 06:00:00+00:00,2023-07-31 06:00:00+00:00,1251,10649,11900
0-203-0-10101026001,Černý Důl,50.648678,15.712563,715.0,2005-07-04 06:00:00+00:00,2019-12-30 06:00:00+00:00,644,4653,5297
0-203-0-10101029002,Rudník  Javorník,50.5831,15.7681,455.0,1991-01-07 06:00:00+00:00,2008-04-28 06:00:00+00:00,505,5825,6330
0-203-0-10101055001,Čistá,50.526601,15.584265,445.0,1991-01-07 06:00:00+00:00,2012-12-31 06:00:00+00:00,735,7301,8036
0-203-0-10101067001,Bílá Třemešná,50.457596,15.766135,322.0,1991-01-14 06:00:00+00:00,2025-12-29 06:00:00+00:00,1299,11485,12784
0-203-0-10102006101,Pomezní boudy  Horní Malá Úpa,50.745472,15.82027,1050.0,1997-12-01 06:00:00+00:00,2025-12-22 06:00:00+00:00,1175,9144,10319
0-203-0-10102013001,Horní Maršov,50.654577,15.818973,585.0,1991-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,1401,11383,12784
0-203-0-10102027001,Žacléř,50.661205,15.907098,644.0,1964-01-03 06:00:00+00:00,2025-12-22 06:00:00+00:00,2034,16594,18628
0-203-0-10102051101,Česká Skalice  Ratibořice,50.4165464,16.0529453,290.0,1991-01-14 06:00:00+00:00,1996-03-18 06:00:00+00:00,161,12896,13057
0-203-0-10103004001,Teplice nad Metují Zdoňov,50.641075,16.147362,531.0,2019-01-07 06:00:00+00:00,2025-12-22 06:00:00+00:00,172,2190,2362
0-203-0-10103011001,Teplice nad Metují,50.578941,16.172543,460.0,1946-01-04 06:00:00+00:00,2021-06-28 06:00:00+00:00,2044,24647,26691
0-203-0-10103018001,Police nad Metují,50.537805,16.237511,446.0,1991-01-14 06:00:00+00:00,2025-12-29 06:00:00+00:00,1283,11501,12784
0-203-0-10103032001,Hronov  Zbečník,50.4839,16.1442,378.0,1899-04-07 06:00:00+00:00,2002-12-30 06:00:00+00:00,2311,24627,26938
0-203-0-10103041001,Náchod,50.395208,16.157201,336.0,1991-01-14 06:00:00+00:00,2025-12-29 06:00:00+00:00,1333,11451,12784
0-203-0-10103042001,Olešnice  Čihalka,50.374902,16.352829,740.0,2001-11-05 06:00:00+00:00,2012-09-24 06:00:00+00:00,421,3566,3987
0-203-0-10103056001,Česká Skalice  Rozkoš,50.363056,16.061111,290.0,1996-12-02 06:00:00+00:00,2025-12-29 06:00:00+00:00,1131,9553,10684
