station_id,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0-203-0-10602014001,20.0,22.0,15.0,21.0,7.0,20.0,23.0,10.0,21.0,20.0,25.0,23.0,23.0,23.0,21.0,23.0,24.0,21.0,19.0,25.0,25.0,25.0,17.0,23.0,22.0,23.0,19.0,20.0,23.0,23.0,18.0,20.0,20.0,21.0,21.0,20.0,24.0,25.0,22.0
0-203-0-10602028001,25.0,22.0,21.0,21.0,22.0,19.0,21.0,11.0,22.0,22.0,22.0,11.0,22.0,22.0,23.0,24.0,22.0,22.0,17.0,25.0,22.0,22.0,17.0,25.0,23.0,23.0,20.0,20.0,24.0,23.0,19.0,23.0,22.0,21.0,23.0,20.0,23.0,24.0,21.0
0-203-0-10602029002,9.0,14.0,15.0,23.0,25.0,25.0,25.0,11.0,20.0,18.0,19.0,18.0,14.0,21.0,20.0,22.0,21.0,23.0,16.0,24.0,23.0,19.0,24.0,24.0,22.0,23.0,20.0,21.0,23.0,23.0,23.0,17.0,22.0,23.0,23.0,22.0,24.0,24.0,21.0
0-203-0-10602032201,24.0,23.0,21.0,25.0,21.0,16.0,19.0,9.0,20.0,21.0,22.0,20.0,21.0,21.0,21.0,24.0,22.0,20.0,18.0,23.0,22.0,21.0,15.0,23.0,21.0,23.0,18.0,21.0,22.0,23.0,20.0,18.0,24.0,20.0,22.0,18.0,21.0,24.0,19.0
0-203-0-10603060001,19.0,20.0,22.0,24.0,22.0,19.0,16.0,3.0,17.0,8.0,14.0,20.0,17.0,14.0,16.0,19.0,18.0,19.0,19.0,21.0,26.0,22.0,20.0,21.0,20.0,21.0,18.0,25.0,21.0,26.0,23.0,23.0,23.0,24.0,24.0,26.0,22.0,24.0,22.0
0-203-0-10702007001,23.0,24.0,20.0,26.0,22.0,18.0,23.0,7.0,20.0,21.0,21.0,22.0,21.0,15.0,22.0,23.0,18.0,21.0,18.0,25.0,26.0,20.0,22.0,25.0,23.0,20.0,19.0,24.0,21.0,25.0,23.0,24.0,25.0,23.0,22.0,22.0,24.0,26.0,23.0
0-203-0-10702010001,23.0,19.0,22.0,24.0,22.0,19.0,18.0,7.0,22.0,23.0,22.0,21.0,21.0,21.0,24.0,25.0,19.0,20.0,18.0,20.0,26.0,20.0,22.0,23.0,23.0,25.0,20.0,26.0,23.0,25.0,22.0,22.0,23.0,24.0,25.0,24.0,24.0,25.0,24.0
0-203-0-10702020001,24.0,20.0,23.0,23.0,23.0,24.0,24.0,8.0,20.0,21.0,22.0,21.0,23.0,23.0,22.0,23.0,21.0,23.0,19.0,25.0,26.0,23.0,24.0,25.0,24.0,23.0,23.0,25.0,23.0,26.0,23.0,21.0,24.0,22.0,25.0,21.0,25.0,12.0,
0-203-0-10702028001,25.0,22.0,22.0,26.0,22.0,21.0,21.0,,12.0,16.0,24.0,21.0,16.0,21.0,21.0,26.0,19.0,19.0,19.0,23.0,26.0,20.0,20.0,22.0,24.0,22.0,20.0,25.0,20.0,25.0,23.0,21.0,25.0,22.0,24.0,16.0,22.0,24.0,24.0
0-203-0-10702039001,23.0,20.0,19.0,23.0,21.0,17.0,16.0,,22.0,17.0,19.0,21.0,21.0,21.0,19.0,22.0,20.0,21.0,18.0,24.0,26.0,21.0,17.0,24.0,25.0,21.0,18.0,26.0,23.0,26.0,23.0,23.0,24.0,24.0,24.0,21.0,23.0,25.0,25.0
0-203-0-10702060001,23.0,19.0,22.0,23.0,22.0,17.0,22.0,5.0,21.0,19.0,20.0,20.0,21.0,19.0,20.0,24.0,14.0,22.0,19.0,22.0,25.0,20.0,20.0,22.0,24.0,23.0,16.0,25.0,22.0,25.0,24.0,19.0,14.0,23.0,22.0,21.0,22.0,24.0,24.0
0-203-0-10703011001,25.0,21.0,23.0,25.0,24.0,24.0,24.0,5.0,22.0,24.0,23.0,20.0,20.0,22.0,24.0,22.0,21.0,20.0,19.0,23.0,25.0,21.0,23.0,24.0,25.0,23.0,20.0,20.0,23.0,24.0,24.0,21.0,24.0,25.0,24.0,21.0,20.0,25.0,23.0
0-203-0-10703017001,24.0,20.0,21.0,22.0,20.0,20.0,25.0,8.0,12.0,23.0,19.0,11.0,21.0,22.0,24.0,25.0,20.0,20.0,20.0,24.0,25.0,20.0,21.0,23.0,23.0,22.0,20.0,23.0,20.0,25.0,24.0,19.0,23.0,24.0,25.0,22.0,22.0,25.0,17.0
0-203-0-10703027001,21.0,23.0,23.0,24.0,23.0,19.0,19.0,6.0,22.0,19.0,19.0,22.0,20.0,23.0,23.0,23.0,20.0,19.0,21.0,25.0,26.0,21.0,23.0,23.0,23.0,24.0,21.0,24.0,21.0,26.0,23.0,20.0,25.0,25.0,26.0,22.0,20.0,25.0,23.0
0-203-0-10703036001,22.0,24.0,22.0,23.0,25.0,23.0,21.0,6.0,21.0,23.0,22.0,22.0,22.0,23.0,25.0,23.0,20.0,22.0,20.0,24.0,25.0,22.0,22.0,25.0,24.0,25.0,21.0,25.0,22.0,26.0,24.0,19.0,23.0,24.0,24.0,21.0,23.0,11.0,
0-203-0-10703057001,24.0,20.0,20.0,22.0,21.0,20.0,13.0,4.0,21.0,15.0,21.0,20.0,18.0,20.0,24.0,23.0,19.0,21.0,19.0,23.0,26.0,21.0,20.0,21.0,23.0,23.0,20.0,24.0,24.0,26.0,24.0,21.0,19.0,24.0,24.0,21.0,22.0,23.0,23.0
0-203-0-10704050001,22.0,23.0,23.0,24.0,24.0,19.0,21.0,7.0,22.0,14.0,23.0,21.0,23.0,21.0,22.0,25.0,19.0,21.0,19.0,21.0,26.0,23.0,24.0,21.0,25.0,22.0,21.0,26.0,23.0,25.0,25.0,21.0,20.0,25.0,26.0,23.0,23.0,25.0,24.0
0-203-0-10704094001,24.0,24.0,19.0,21.0,21.0,23.0,22.0,8.0,19.0,20.0,24.0,22.0,24.0,23.0,20.0,23.0,19.0,21.0,20.0,25.0,26.0,25.0,22.0,25.0,25.0,25.0,20.0,25.0,25.0,24.0,22.0,22.0,22.0,23.0,24.0,21.0,21.0,23.0,18.0
0-203-0-10704104001,21.0,23.0,5.0,17.0,22.0,19.0,21.0,8.0,21.0,14.0,17.0,21.0,22.0,17.0,21.0,24.0,19.0,20.0,19.0,22.0,26.0,19.0,22.0,25.0,23.0,20.0,18.0,22.0,23.0,24.0,22.0,19.0,17.0,24.0,22.0,22.0,21.0,23.0,24.0
0-203-0-10704117001,20.0,22.0,23.0,22.0,23.0,20.0,16.0,4.0,9.0,9.0,13.0,21.0,18.0,16.0,20.0,22.0,19.0,20.0,20.0,20.0,25.0,23.0,21.0,25.0,24.0,22.0,19.0,23.0,22.0,25.0,23.0,18.0,17.0,25.0,24.0,20.0,21.0,24.0,25.0
0-203-0-10705023001,24.0,24.0,21.0,23.0,24.0,22.0,22.0,7.0,21.0,19.0,24.0,25.0,21.0,20.0,21.0,23.0,21.0,19.0,21.0,22.0,26.0,21.0,19.0,21.0,24.0,23.0,19.0,25.0,24.0,22.0,22.0,20.0,21.0,24.0,21.0,21.0,23.0,22.0,23.0
0-203-0-10801005002,23.0,25.0,24.0,25.0,23.0,25.0,24.0,21.0,24.0,24.0,24.0,24.0,26.0,26.0,25.0,26.0,24.0,25.0,26.0,25.0,18.0,25.0,26.0,23.0,25.0,23.0,26.0,22.0,23.0,24.0,21.0,25.0,22.0,21.0,23.0,25.0,21.0,22.0,22.0
0-203-0-10801017001,25.0,20.0,22.0,24.0,16.0,19.0,24.0,13.0,18.0,17.0,6.0,11.0,21.0,20.0,23.0,21.0,22.0,23.0,21.0,24.0,23.0,21.0,26.0,23.0,22.0,22.0,20.0,22.0,20.0,21.0,22.0,21.0,20.0,21.0,23.0,20.0,21.0,23.0,20.0
0-203-0-10801028001,24.0,24.0,25.0,25.0,23.0,25.0,24.0,19.0,23.0,21.0,19.0,21.0,24.0,23.0,21.0,24.0,20.0,24.0,24.0,23.0,21.0,22.0,26.0,23.0,22.0,24.0,25.0,19.0,23.0,21.0,19.0,25.0,22.0,22.0,20.0,24.0,20.0,22.0,23.0
0-203-0-10801069001,25.0,21.0,21.0,21.0,24.0,26.0,25.0,21.0,20.0,20.0,23.0,20.0,19.0,19.0,19.0,19.0,23.0,17.0,25.0,21.0,22.0,22.0,15.0,24.0,23.0,20.0,19.0,18.0,21.0,22.0,23.0,19.0,24.0,23.0,24.0,18.0,21.0,24.0,19.0
0-203-0-10801117001,26.0,23.0,22.0,26.0,20.0,20.0,23.0,10.0,14.0,17.0,18.0,19.0,21.0,21.0,19.0,23.0,20.0,21.0,18.0,22.0,26.0,21.0,22.0,24.0,23.0,24.0,22.0,23.0,23.0,24.0,22.0,19.0,21.0,23.0,21.0,24.0,21.0,24.0,24.0
0-203-0-10801119001,23.0,26.0,23.0,23.0,22.0,22.0,19.0,7.0,21.0,15.0,15.0,23.0,22.0,17.0,21.0,22.0,21.0,21.0,18.0,17.0,25.0,20.0,21.0,22.0,24.0,24.0,19.0,24.0,22.0,24.0,23.0,22.0,20.0,25.0,25.0,23.0,21.0,23.0,22.0
0-203-0-10802009001,25.0,21.0,16.0,22.0,19.0,17.0,22.0,10.0,19.0,15.0,16.0,17.0,13.0,19.0,20.0,20.0,20.0,23.0,16.0,24.0,17.0,23.0,12.0,22.0,20.0,20.0,19.0,20.0,19.0,22.0,22.0,18.0,20.0,22.0,23.0,20.0,17.0,18.0,17.0
0-203-0-10802017001,23.0,17.0,19.0,20.0,21.0,18.0,16.0,5.0,20.0,20.0,15.0,20.0,14.0,14.0,22.0,24.0,25.0,10.0,20.0,23.0,24.0,25.0,18.0,24.0,23.0,21.0,18.0,23.0,23.0,22.0,21.0,20.0,20.0,26.0,22.0,24.0,21.0,24.0,19.0
0-203-0-10802038001,15.0,22.0,20.0,25.0,17.0,23.0,17.0,3.0,21.0,20.0,19.0,20.0,18.0,19.0,17.0,21.0,21.0,14.0,20.0,21.0,26.0,19.0,22.0,24.0,24.0,23.0,18.0,24.0,23.0,25.0,24.0,21.0,22.0,24.0,23.0,23.0,21.0,23.0,23.0
0-203-0-10802073001,25.0,22.0,21.0,22.0,22.0,19.0,24.0,6.0,21.0,16.0,20.0,22.0,19.0,19.0,18.0,21.0,19.0,20.0,20.0,20.0,25.0,20.0,20.0,24.0,24.0,24.0,19.0,23.0,22.0,23.0,23.0,20.0,21.0,24.0,26.0,21.0,22.0,24.0,24.0
0-203-0-10803008001,25.0,21.0,19.0,20.0,22.0,7.0,24.0,6.0,16.0,17.0,18.0,14.0,19.0,17.0,20.0,17.0,20.0,24.0,20.0,24.0,24.0,23.0,21.0,25.0,21.0,23.0,25.0,23.0,23.0,22.0,18.0,18.0,20.0,20.0,23.0,23.0,21.0,22.0,21.0
0-203-0-10803031001,24.0,24.0,21.0,20.0,21.0,17.0,20.0,10.0,19.0,21.0,19.0,20.0,21.0,20.0,21.0,23.0,23.0,20.0,19.0,22.0,25.0,22.0,20.0,24.0,24.0,23.0,19.0,23.0,24.0,23.0,21.0,22.0,21.0,24.0,22.0,20.0,24.0,25.0,25.0
