station_id,n_active_seasons,coverage,first_active,last_active,max_gap_seasons,median_obs,min_obs,max_obs,cv_obs,n_seasons_any_obs,ok_coverage,ok_gap,ok_starts_early,ok_ends_late,ok_density,ok_stability,selected,fail_reasons,period,n_seasons_in_period,station_name,latitude,longitude,elevation_m
0-20000-0-11423,39,1.0,1986.0,2024.0,0,22.0,12.0,25.0,0.15929284214098297,39,True,True,True,True,True,True,True,,1986-2025,39,Přimda,49.669444,12.678056,742.76
0-20000-0-11457,39,1.0,1986.0,2024.0,0,22.0,17.0,25.0,0.08753560510876582,39,True,True,True,True,True,True,True,,1986-2025,39,Churáňov,49.068333,13.615278,1117.8
0-20000-0-11487,39,1.0,1986.0,2024.0,0,21.0,13.0,26.0,0.13790834785504721,39,True,True,True,True,True,True,True,,1986-2025,39,Kocelovice,49.467222,13.838611,519.0
0-20000-0-11502,39,1.0,1986.0,2024.0,0,22.0,12.0,26.0,0.1638642310787787,39,True,True,True,True,True,True,True,,1986-2025,39,Ústí nad Labem  Kočkov,50.68333,14.04111,375.39
0-20000-0-11603,39,1.0,1986.0,2024.0,0,22.0,12.0,26.0,0.15247852150132743,39,True,True,True,True,True,True,True,,1986-2025,39,Liberec,50.76972,15.02389,397.72
0-20000-0-11628,39,1.0,1986.0,2024.0,0,22.0,11.0,26.0,0.19117377288847234,39,True,True,True,True,True,True,True,,1986-2025,39,Košetice  Křešín  Kramolín,49.573504,15.08046,532.29
0-20000-0-11659,39,1.0,1986.0,2024.0,0,22.0,13.0,26.0,0.1386449230167457,39,True,True,True,True,True,True,True,,1986-2025,39,Přibyslav  Hřiště,49.582785,15.7625,532.5
0-20000-0-11766,39,1.0,1986.0,2024.0,0,22.0,16.0,26.0,0.10052766449779457,39,True,True,True,True,True,True,True,,1986-2025,39,Červená,49.777222,17.541944,748.13
0-20000-0-11782,39,1.0,1986.0,2024.0,0,23.0,11.0,26.0,0.15915314360678878,39,True,True,True,True,True,True,True,,1986-2025,39,Mošnov,49.691944,18.112778,252.8
0-20000-0-11787,39,1.0,1986.0,2024.0,0,24.0,16.0,26.0,0.09303580529275746,39,True,True,True,True,True,True,True,,1986-2025,39,Lysá hora,49.546111,18.4475,1322.03
0-203-0-10406025001,39,1.0,1986.0,2024.0,0,23.0,11.0,26.0,0.14707578435335716,39,True,True,True,True,True,True,True,,1986-2025,39,Dolní Chvatliny,49.983593,15.065951,290.0
0-203-0-10501011001,39,1.0,1986.0,2024.0,0,24.0,16.0,26.0,0.09506184310698668,39,True,True,True,True,True,True,True,,1986-2025,39,Rokytnice nad Jizerou  Vilémov,50.7319,15.4229,525.0
0-203-0-10501025001,39,1.0,1986.0,2024.0,0,24.0,16.0,26.0,0.08792692271415585,39,True,True,True,True,True,True,True,,1986-2025,39,Jilemnice,50.6014,15.5125,462.0
0-203-0-10501030001,39,1.0,1986.0,2024.0,0,23.0,15.0,26.0,0.08952256531319408,39,True,True,True,True,True,True,True,,1986-2025,39,Roprachtice,50.651199,15.414138,550.0
0-203-0-10501036001,39,1.0,1986.0,2024.0,0,22.0,12.0,25.0,0.11607289784841872,39,True,True,True,True,True,True,True,,1986-2025,39,Nová Paka,50.49,15.5136,450.0
0-203-0-10501038001,39,1.0,1986.0,2024.0,0,20.0,14.0,26.0,0.1587787876667239,39,True,True,True,True,True,True,True,,1986-2025,39,Lomnice nad Popelkou,50.538491,15.379375,485.0
0-203-0-10502085001,39,1.0,1986.0,2024.0,0,24.0,11.0,26.0,0.12703090729287317,39,True,True,True,True,True,True,True,,1986-2025,39,Dolní Bousov,50.437897,15.141737,244.0
0-203-0-10601002002,39,1.0,1986.0,2024.0,0,23.0,12.0,26.0,0.1301709646451677,39,True,True,True,True,True,True,True,,1986-2025,39,Kvilda,49.0192,13.5792,1059.0
0-203-0-10601011001,39,1.0,1986.0,2024.0,0,21.0,13.0,26.0,0.14498558050498686,39,True,True,True,True,True,True,True,,1986-2025,39,Borová Lada,48.99055,13.661958,898.0
0-203-0-10601050001,39,1.0,1986.0,2024.0,0,22.0,13.0,26.0,0.1612517747380714,39,True,True,True,True,True,True,True,,1986-2025,39,Stožec,48.8570531,13.8217247,797.0
0-203-0-10602028001,39,1.0,1986.0,2024.0,0,22.0,11.0,25.0,0.14145606421928597,39,True,True,True,True,True,True,True,,1986-2025,39,Benešov nad Černou,48.7311,14.6283,665.0
0-203-0-10801005002,39,1.0,1986.0,2024.0,0,24.0,18.0,26.0,0.07553221792676332,39,True,True,True,True,True,True,True,,1986-2025,39,Filipova Huť,49.0298283,13.5197133,1110.0
0-203-0-10801028001,39,1.0,1986.0,2024.0,0,23.0,19.0,26.0,0.08575545185457452,39,True,True,True,True,True,True,True,,1986-2025,39,Prášily,49.1069,13.3786,883.0
0-203-0-10801069001,39,1.0,1986.0,2024.0,0,21.0,15.0,26.0,0.11653785339126503,39,True,True,True,True,True,True,True,,1986-2025,39,Čachrov,49.264136,13.301694,729.0
0-203-0-10801117001,39,1.0,1986.0,2024.0,0,22.0,10.0,26.0,0.14504924570975505,39,True,True,True,True,True,True,True,,1986-2025,39,Chanovice,49.4031031,13.7176939,533.0
0-203-0-10802009001,39,1.0,1986.0,2024.0,0,20.0,10.0,25.0,0.16881829620738184,39,True,True,True,True,True,True,True,,1986-2025,39,Vimperk,49.0657822,13.7824278,637.0
0-203-0-10803031001,39,1.0,1986.0,2024.0,0,21.0,10.0,25.0,0.1266813616734328,39,True,True,True,True,True,True,True,,1986-2025,39,Prachatice,49.0073094,13.9934122,607.0
0-203-0-10901012001,39,1.0,1986.0,2024.0,0,22.0,12.0,25.0,0.14328782560351586,39,True,True,True,True,True,True,True,,1986-2025,39,Nížkov,49.5325,15.8067,531.0
0-203-0-10901046001,39,1.0,1986.0,2024.0,0,24.0,13.0,26.0,0.11048618729276243,39,True,True,True,True,True,True,True,,1986-2025,39,Polná,49.4864,15.7061,490.0
0-203-0-10901060001,39,1.0,1986.0,2024.0,0,23.0,11.0,26.0,0.1339204161707161,39,True,True,True,True,True,True,True,,1986-2025,39,Štoky,49.501462,15.590799,530.0
0-203-0-10901104001,39,1.0,1986.0,2024.0,0,23.0,12.0,26.0,0.12029717529441683,39,True,True,True,True,True,True,True,,1986-2025,39,Habry,49.751989,15.486748,470.0
0-203-0-10901110001,39,1.0,1986.0,2024.0,0,23.0,10.0,26.0,0.133854661480079,39,True,True,True,True,True,True,True,,1986-2025,39,Světlá nad Sázavou,49.6728,15.4075,410.0
0-203-0-10901127001,39,1.0,1986.0,2024.0,0,24.0,11.0,26.0,0.11902690076477869,39,True,True,True,True,True,True,True,,1986-2025,39,Ledeč nad Sázavou,49.698597,15.284048,408.0
0-203-0-10901141001,39,1.0,1986.0,2024.0,0,24.0,11.0,26.0,0.1399525338158096,39,True,True,True,True,True,True,True,,1986-2025,39,Řendějov  Nový Samechov,49.76873,15.08814,444.0
0-203-0-10902018001,39,1.0,1986.0,2024.0,0,23.0,11.0,26.0,0.14172871915059057,39,True,True,True,True,True,True,True,,1986-2025,39,Pelhřimov,49.4331428,15.2339531,524.0
0-203-0-11001016001,39,1.0,1986.0,2024.0,0,21.0,12.0,26.0,0.1543752990848453,39,True,True,True,True,True,True,True,,1986-2025,39,Tachov,49.798357,12.623135,487.0
0-203-0-11001058001,39,1.0,1986.0,2024.0,0,22.0,13.0,26.0,0.15477364471297508,39,True,True,True,True,True,True,True,,1986-2025,39,Tři Sekery,49.943647,12.616463,672.0
0-203-0-11001141001,39,1.0,1986.0,2024.0,0,23.0,12.0,26.0,0.15847845320191178,39,True,True,True,True,True,True,True,,1986-2025,39,Úterý,49.938609,13.001143,489.0
0-203-0-11002086001,39,1.0,1986.0,2024.0,0,23.0,15.0,26.0,0.08989789184815997,39,True,True,True,True,True,True,True,,1986-2025,39,Chudenice,49.465405,13.176262,490.0
0-203-0-11002097001,39,1.0,1986.0,2024.0,0,23.0,17.0,26.0,0.08507070982214066,39,True,True,True,True,True,True,True,,1986-2025,39,Dnešice,49.601994,13.269301,378.0
0-203-0-11005011001,39,1.0,1986.0,2024.0,0,23.0,11.0,26.0,0.1589877459893262,39,True,True,True,True,True,True,True,,1986-2025,39,Žinkovy,49.486555,13.491503,475.0
0-203-0-11101013001,39,1.0,1986.0,2024.0,0,22.0,13.0,26.0,0.15022762978280305,39,True,True,True,True,True,True,True,,1986-2025,39,Strašice,49.742781,13.753217,526.0
0-203-0-11102023001,39,1.0,1986.0,2024.0,0,21.0,10.0,26.0,0.18225575397346408,39,True,True,True,True,True,True,True,,1986-2025,39,Žlutice,50.09822,13.160412,569.0
0-203-0-11102028001,39,1.0,1986.0,2024.0,0,22.0,12.0,26.0,0.15775033357273957,39,True,True,True,True,True,True,True,,1986-2025,39,Verušičky,50.140984,13.172377,582.0
0-203-0-11102036001,39,1.0,1986.0,2024.0,0,22.0,14.0,25.0,0.11990769229403206,39,True,True,True,True,True,True,True,,1986-2025,39,Bezvěrov,49.993664,13.054363,699.0
0-203-0-11301046001,39,1.0,1986.0,2024.0,0,22.0,10.0,26.0,0.17207762148466405,39,True,True,True,True,True,True,True,,1986-2025,39,Luby,50.256881,12.400238,524.0
0-203-0-11301059001,39,1.0,1986.0,2024.0,0,21.0,12.0,26.0,0.17147434495782285,39,True,True,True,True,True,True,True,,1986-2025,39,Starý Hrozňatov,50.025396,12.389416,452.0
0-203-0-11301086001,39,1.0,1986.0,2024.0,0,23.0,14.0,26.0,0.12572784628356246,39,True,True,True,True,True,True,True,,1986-2025,39,Habartov,50.180156,12.54853,484.0
0-203-0-11301161001,39,1.0,1986.0,2024.0,0,23.0,17.0,26.0,0.11473066690079191,39,True,True,True,True,True,True,True,,1986-2025,39,Nejdek,50.335684,12.715486,609.0
0-203-0-11302015001,39,1.0,1986.0,2024.0,0,23.0,15.0,26.0,0.1179395572446751,39,True,True,True,True,True,True,True,,1986-2025,39,Bečov nad Teplou,50.0824,12.836679,529.0
0-203-0-11302057001,39,1.0,1986.0,2024.0,0,22.0,16.0,25.0,0.1199997609568896,39,True,True,True,True,True,True,True,,1986-2025,39,Abertamy,50.367742,12.816447,893.0
0-203-0-11401097301,39,1.0,1986.0,2024.0,0,21.0,10.0,26.0,0.21427052910238475,39,True,True,True,True,True,True,True,,1986-2025,39,Dubí,50.68056,13.80214,402.0
0-203-0-11403005001,39,1.0,1986.0,2024.0,0,22.0,12.0,25.0,0.15722460913302572,39,True,True,True,True,True,True,True,,1986-2025,39,Křižany,50.738722,14.907056,395.0
0-203-0-11403041001,39,1.0,1986.0,2024.0,0,22.0,10.0,25.0,0.19115559803230742,39,True,True,True,True,True,True,True,,1986-2025,39,Mařenice,50.80967,14.676,395.0
0-203-0-11413,39,1.0,1986.0,2024.0,0,21.0,13.0,26.0,0.17973772767873314,39,True,True,True,True,True,True,True,,1986-2025,39,Mariánské Lázně  vodárna,49.990619,12.695966,696.0
0-203-0-11453,39,1.0,1986.0,2024.0,0,21.0,12.0,26.0,0.17161746923390822,39,True,True,True,True,True,True,True,,1986-2025,39,Hojsova Stráž,49.212473,13.197146,866.0
0-203-0-11483,39,1.0,1986.0,2024.0,0,22.0,16.0,26.0,0.11018389059820137,39,True,True,True,True,True,True,True,,1986-2025,39,Rožmitál pod Třemšínem,49.605,13.8664,524.0
0-203-0-11497,39,1.0,1986.0,2024.0,0,22.0,17.0,26.0,0.09839501887145996,39,True,True,True,True,True,True,True,,1986-2025,39,Husinec,49.0522,13.9883,483.0
0-203-0-11502020001,39,1.0,1986.0,2024.0,0,21.0,11.0,25.0,0.181688845801002,39,True,True,True,True,True,True,True,,1986-2025,39,Petrovice  Krásný Les,50.767361,13.937667,631.0
0-203-0-11503029001,39,1.0,1986.0,2024.0,0,22.0,10.0,25.0,0.18353589021699632,39,True,True,True,True,True,True,True,,1986-2025,39,Český Jiřetín  Fláje,50.68706,13.58558,740.0
0-203-0-11528,39,1.0,1986.0,2024.0,0,22.0,14.0,25.0,0.12491878962561713,39,True,True,True,True,True,True,True,,1986-2025,39,Nadějkov  Větrov,49.5169,14.4653,616.0
0-203-0-11542,39,1.0,1986.0,2024.0,0,24.0,17.0,26.0,0.0790445297070525,39,True,True,True,True,True,True,True,,1986-2025,39,České Budějovice  ul. S.K.Neumanna,48.9644,14.4672,388.0
0-203-0-11549,39,1.0,1986.0,2024.0,0,22.0,17.0,25.0,0.09750283553041289,39,True,True,True,True,True,True,True,,1986-2025,39,Vyšší Brod,48.6177092,14.3141131,559.0
0-203-0-11581,39,1.0,1986.0,2024.0,0,22.0,11.0,26.0,0.13209458577790664,39,True,True,True,True,True,True,True,,1986-2025,39,Hlasivo,49.4981,14.7561,547.0
0-203-0-11583,39,1.0,1986.0,2024.0,0,20.0,14.0,24.0,0.1224744871391589,39,True,True,True,True,True,True,True,,1986-2025,39,Černovice  Dobešov,49.3575,14.9625,580.0
0-203-0-11589,39,1.0,1986.0,2024.0,0,22.0,11.0,26.0,0.17411563239274686,39,True,True,True,True,True,True,True,,1986-2025,39,Třeboň  Lužnice,49.0617575,14.7585975,428.0
0-203-0-11593,39,1.0,1986.0,2024.0,0,21.0,10.0,26.0,0.1579756704709412,39,True,True,True,True,True,True,True,,1986-2025,39,Byňov,48.816603,14.799947,475.0
0-203-0-11605,39,1.0,1986.0,2024.0,0,22.0,13.0,25.0,0.12814988948053552,39,True,True,True,True,True,True,True,,1986-2025,39,Desná  Souš,50.789354,15.319286,772.0
0-203-0-11634,39,1.0,1986.0,2024.0,0,22.0,12.0,25.0,0.11765720760457948,39,True,True,True,True,True,True,True,,1986-2025,39,Počátky,49.2605217,15.2340794,618.0
0-203-0-11635,39,1.0,1986.0,2024.0,0,22.0,16.0,26.0,0.09765202827810447,39,True,True,True,True,True,True,True,,1986-2025,39,Jindřichův Hradec  Děbolín,49.1556,14.9575,524.0
0-203-0-11644,39,1.0,1986.0,2024.0,0,24.0,17.0,26.0,0.09661271568035609,39,True,True,True,True,True,True,True,,1986-2025,39,Benecko,50.6713,15.5499,780.0
0-203-0-11674,39,1.0,1986.0,2024.0,0,23.0,12.0,26.0,0.15840630113996296,39,True,True,True,True,True,True,True,,1986-2025,39,Deštné v Orlic. horách,50.306667,16.351959,656.0
0-203-0-11685,39,1.0,1986.0,2024.0,0,20.0,11.0,25.0,0.14857319391695142,39,True,True,True,True,True,True,True,,1986-2025,39,Nedvězí,49.6344,16.3097,722.0
0-203-0-11703,39,1.0,1986.0,2024.0,0,23.0,13.0,26.0,0.12159684470308141,39,True,True,True,True,True,True,True,,1986-2025,39,Staré Město pod Sněžníkem  Kunčice,50.1925131,16.943146,649.0
0-203-0-11765,39,1.0,1986.0,2024.0,0,23.0,11.0,26.0,0.16687049954064836,39,True,True,True,True,True,True,True,,1986-2025,39,Bělotín,49.5869,17.8042,306.0
0-203-0-11781,39,1.0,1986.0,2024.0,0,24.0,15.0,26.0,0.1035660462020537,39,True,True,True,True,True,True,True,,1986-2025,39,Bohumín  Záblatí,49.882,18.3692,237.0
0-203-0-11789,39,1.0,1986.0,2024.0,0,24.0,13.0,26.0,0.14601432640282794,39,True,True,True,True,True,True,True,,1986-2025,39,Huslenky  Kychová,49.3,18.1261,450.0
0-203-0-11790,39,1.0,1986.0,2024.0,0,22.0,15.0,25.0,0.10936688297597473,39,True,True,True,True,True,True,True,,1986-2025,39,Ostrava  Poruba,49.825331,18.15942,240.0
0-203-0-11792,39,1.0,1986.0,2024.0,0,23.0,12.0,26.0,0.16645134534640968,39,True,True,True,True,True,True,True,,1986-2025,39,Jablunkov  Návsí,49.5875,18.7503,380.0
0-203-0-11794,39,1.0,1986.0,2024.0,0,21.0,14.0,26.0,0.11778304396708483,39,True,True,True,True,True,True,True,,1986-2025,39,Horní Bečva,49.4311,18.2983,565.0
0-203-0-11798,39,1.0,1986.0,2024.0,0,21.0,15.0,26.0,0.11995862153428644,39,True,True,True,True,True,True,True,,1986-2025,39,Mořkov,49.5414,18.057778,345.0
0-203-0-20101147002,39,1.0,1986.0,2024.0,0,22.0,12.0,26.0,0.17549723315811525,39,True,True,True,True,True,True,True,,1986-2025,39,Hukvaldy  Rychaltice,49.6428,18.2208,292.0
0-203-0-20201038001,39,1.0,1986.0,2024.0,0,22.0,12.0,26.0,0.16312466789557326,39,True,True,True,True,True,True,True,,1986-2025,39,Heřmanovice,50.1985,17.3816,665.0
0-203-0-20202005001,39,1.0,1986.0,2024.0,0,19.0,10.0,26.0,0.15742514223359835,39,True,True,True,True,True,True,True,,1986-2025,39,Malá Morávka  Karlov,50.025278,17.259444,775.0
0-203-0-20301008002,39,1.0,1986.0,2024.0,0,23.0,18.0,25.0,0.09286707002739589,39,True,True,True,True,True,True,True,,1986-2025,39,Staré Hamry  Samčanka,49.468936,18.43389,527.0
0-203-0-20404085001,39,1.0,1986.0,2024.0,0,23.0,12.0,26.0,0.13564169934970646,39,True,True,True,True,True,True,True,,1986-2025,39,Ostružná  Ramzová,50.197223,17.065201,740.0
0-203-0-20408003001,39,1.0,1986.0,2024.0,0,21.0,10.0,25.0,0.2168008954232715,39,True,True,True,True,True,True,True,,1986-2025,39,Rumburk,50.95156,14.57086,390.0
0-203-0-40201003001,39,1.0,1986.0,2024.0,0,24.0,17.0,26.0,0.08306505319224898,39,True,True,True,True,True,True,True,,1986-2025,39,Špičák,49.169506,13.215816,973.0
0-203-0-40201004001,39,1.0,1986.0,2024.0,0,23.0,16.0,26.0,0.10798482006030387,39,True,True,True,True,True,True,True,,1986-2025,39,Železná Ruda,49.138245,13.228729,754.0
0-203-0-40202009001,39,1.0,1986.0,2024.0,0,23.0,11.0,26.0,0.153956160799806,39,True,True,True,True,True,True,True,,1986-2025,39,Všeruby,49.343587,12.983841,445.0
0-203-0-40202023201,39,1.0,1986.0,2024.0,0,22.0,18.0,26.0,0.08857022510883247,39,True,True,True,True,True,True,True,,1986-2025,39,Česká Kubice,49.367941,12.857804,549.0
0-203-0-41001034001,39,1.0,1986.0,2024.0,0,22.0,16.0,26.0,0.12246698460191102,39,True,True,True,True,True,True,True,,1986-2025,39,Branná  Františkov,50.1324,17.0129,548.0
0-203-0-41001078001,39,1.0,1986.0,2024.0,0,24.0,12.0,26.0,0.15378321384177188,39,True,True,True,True,True,True,True,,1986-2025,39,Velké Losiny,50.038056,17.051365,411.0
