elev_band,n_stations,max_swe_obs_mean,max_swe_bias,max_swe_rmse,max_swe_r,mean_swe_obs_mean,mean_swe_bias,mean_swe_rmse,mean_swe_r,snow_duration_obs_mean,snow_duration_bias,snow_duration_rmse,snow_duration_r,dohy_max_obs_mean,dohy_max_bias,dohy_max_rmse,dohy_max_r
0-400 m,96,21.97,0.73,14.46,0.841,2.13,0.72,2.54,0.904,49.94,13.76,40.32,0.613,84.25,-0.51,22.34,0.77
400-600 m,147,36.51,-4.06,20.29,0.828,4.34,0.45,3.72,0.911,65.03,13.62,39.19,0.732,87.66,-0.67,23.97,0.742
600-800 m,47,83.0,-16.05,44.82,0.823,13.86,-0.79,9.27,0.886,104.24,10.94,50.97,0.71,93.9,-1.31,24.14,0.698
800-1000 m,9,144.05,2.07,77.13,0.845,29.06,7.53,24.68,0.877,137.68,17.25,62.68,0.682,100.73,5.1,29.63,0.606
1000-+ m,4,237.49,-72.48,102.5,0.864,53.36,-14.1,26.62,0.891,194.43,4.26,68.08,0.757,116.66,-3.77,28.26,0.606
