station_id,n_active_seasons,coverage,first_active,last_active,max_gap_seasons,median_obs,min_obs,max_obs,cv_obs,n_seasons_any_obs,ok_coverage,ok_gap,ok_starts_early,ok_ends_late,ok_density,ok_stability,selected,fail_reasons,period,n_seasons_in_period,station_name,latitude,longitude,elevation_m
0-20000-0-11787,49,1.0,1976.0,2024.0,0,25.0,16.0,26.0,0.08842207340620771,49,True,True,True,True,True,True,True,,1976-2025,49,Lysá hora,49.546111,18.4475,1322.03
0-20000-0-11457,49,1.0,1976.0,2024.0,0,23.0,17.0,26.0,0.08737475377203248,49,True,True,True,True,True,True,True,,1976-2025,49,Churáňov,49.068333,13.615278,1117.8
0-203-0-10801005002,49,1.0,1976.0,2024.0,0,24.0,18.0,26.0,0.07173211065772077,49,True,True,True,True,True,True,True,,1976-2025,49,Filipova Huť,49.0298283,13.5197133,1110.0
0-203-0-10601011001,49,1.0,1976.0,2024.0,0,22.0,13.0,26.0,0.14531893546652352,49,True,True,True,True,True,True,True,,1976-2025,49,Borová Lada,48.99055,13.661958,898.0
0-203-0-10801028001,47,0.9591836734693877,1976.0,2024.0,2,23.0,19.0,26.0,0.0902707241927895,47,True,True,True,True,True,True,True,,1976-2025,49,Prášily,49.1069,13.3786,883.0
0-203-0-11453,49,1.0,1976.0,2024.0,0,22.0,12.0,26.0,0.1616635236074649,49,True,True,True,True,True,True,True,,1976-2025,49,Hojsova Stráž,49.212473,13.197146,866.0
0-20000-0-11464,48,0.9795918367346939,1976.0,2024.0,1,20.0,11.0,26.0,0.17394789647186315,49,True,True,True,True,True,True,True,,1976-2025,49,Milešovka,50.555,13.93083,830.5
0-203-0-10601050001,49,1.0,1976.0,2024.0,0,23.0,13.0,26.0,0.15800815335878365,49,True,True,True,True,True,True,True,,1976-2025,49,Stožec,48.8570531,13.8217247,797.0
0-203-0-11644,49,1.0,1976.0,2024.0,0,24.0,16.0,26.0,0.11148690280977158,49,True,True,True,True,True,True,True,,1976-2025,49,Benecko,50.6713,15.5499,780.0
0-203-0-11602,48,0.9795918367346939,1976.0,2024.0,1,21.0,11.0,26.0,0.14218537602538328,49,True,True,True,True,True,True,True,,1976-2025,49,Bedřichov,50.81511,15.13708,777.0
