station_id,n_obs,bias_mm,rmse_mm,correlation,mean_observed_mm,mean_modelled_mm,station_name,latitude,longitude,elevation_m
0-20000-0-11406,2094,0.44058151082664365,4.557681912753674,0.8570160800812681,2.442550143266446,2.883131654093087,Cheb,50.068333,12.391389,483
0-20000-0-11414,2037,0.43823752385778647,7.977722201436034,0.8436927933614696,4.816053019145819,5.25429054300354,Karlovy Vary  Olšová Vrata,50.201667,12.914167,603
0-20000-0-11423,2230,-7.2330321237922055,21.54033901403365,0.8456693158301319,14.59322869955174,7.360196575759328,Přimda,49.669444,12.678056,742.76
0-20000-0-11433,2011,0.5355707614111588,3.916419897865148,0.7849708611059065,0.9458975634013012,1.4814683248124296,Kopisty,50.54417,13.62278,240
0-20000-0-11438,1962,1.1699859897014502,4.9008452944244905,0.8188529750880171,1.0651376146788982,2.2351236043803526,Tušimice,50.37667,13.32806,321.71
0-20000-0-11450,1074,0.39552687669236375,2.8380433459387775,0.8976823893636429,0.7871508379888278,1.1826777146811969,Plzeň  Mikulka,49.764722,13.378889,359.8
0-20000-0-11457,3008,7.498231920347318,38.87535844922118,0.893690700119653,41.56130319148955,49.05953511183666,Churáňov,49.068333,13.615278,1117.8
0-20000-0-11464,2252,-10.167080938749688,26.190237622524123,0.7778860658004927,13.101731793960678,2.9346508552112525,Milešovka,50.555,13.93083,830.5
0-20000-0-11487,2259,-1.0776311043728253,4.664702838794758,0.8918906971663416,2.325630810092956,1.2479997057201446,Kocelovice,49.467222,13.838611,519
0-20000-0-11502,1989,-0.7993187003095035,4.668690645045478,0.831314505105175,2.533584715937662,1.7342660156281455,Ústí nad Labem  Kočkov,50.68333,14.04111,375.39
0-20000-0-11509,2404,0.029888315320824626,2.376120335858334,0.8094697050477865,0.8043261231281228,0.8342144384489378,Doksany,50.45889,14.17,158
0-20000-0-11518,2158,-1.2909274454691093,5.177053326579322,0.8671737910539122,2.48892493049114,1.1979974850220836,Praha  Ruzyně,50.100278,14.255556,364
0-20000-0-11520,2034,-0.5247824029192261,2.763870750821169,0.8804421823413354,1.1472468043264432,0.622464401407226,Praha  Libuš,50.007778,14.446944,302.04
0-20000-0-11538,1731,-0.4685500314238646,3.912770074347897,0.8778676403522615,1.7644136337377299,1.2958636023138614,Temelín,49.197778,14.342222,500
0-20000-0-11567,1988,-0.2361300946417001,1.969944343657349,0.9226554592742492,0.9265090543259594,0.6903789596842497,Praha  Kbely,50.123333,14.538056,284.5
0-20000-0-11603,2261,1.8564121158834685,13.256471062199578,0.811846663687816,6.986775762936748,8.843187878820096,Liberec,50.76972,15.02389,397.72
0-20000-0-11609,922,0.02603185081019576,3.964739116213797,0.8844758406513286,2.623318872017363,2.6493507228275557,Jičín,50.439511,15.352626,283
0-20000-0-11624,1367,-0.12691784217191052,2.7903727386246246,0.8535292247965826,0.9643745427944372,0.837456700622533,Chotusice  letiště,49.940833,15.386389,238.2
0-20000-0-11628,2951,1.1819350787192289,6.204215523561157,0.8778737882850226,3.0332768553032925,4.2152119340224985,Košetice  Křešín  Kramolín,49.573504,15.08046,532.29
0-20000-0-11636,2158,-1.5516026256759399,7.623919981059589,0.8962051568013377,5.391427247451376,3.8398246217753917,Kostelní Myslová,49.159167,15.439167,569
0-20000-0-11643,1245,-18.476451378226503,50.44228518665365,0.8965973621310189,72.9560642570281,54.47961287880159,Pec pod Sněžkou,50.691944,15.728889,816.3
0-20000-0-11652,1828,0.032970391157061435,2.6101048581190773,0.8555041389589415,1.046280087527354,1.0792504786844193,Pardubice  letiště,50.016111,15.740273,224.21
0-20000-0-11659,2324,-1.2344349167509956,14.555261010107778,0.832452000877614,8.716824440619575,7.482389523868559,Přibyslav  Hřiště,49.582785,15.7625,532.5
0-20000-0-11669,581,-2.5915997959227255,24.002213481214543,0.9069580697523054,27.258691910499063,24.66709211457639,Polom  Sedloňov,50.350278,16.322222,747.24
0-20000-0-11679,1669,1.0612014157257632,10.147078843913713,0.8992638780621802,7.743079688436119,8.804281104161976,Ústí nad Orlicí,49.980278,16.422222,401.7
0-20000-0-11683,2117,-3.780314370957999,17.959180206933024,0.8860255004138112,13.297732640529118,9.517418269571118,Svratouch,49.735,16.034167,734
0-20000-0-11692,2045,0.1169309980284823,3.7002900929360876,0.8983575327490679,2.198484107579465,2.315415105607936,Sedlec,49.170833,16.120556,474
0-20000-0-11693,1269,0.3441589966520911,3.4895299600467014,0.8904577885607988,2.1617021276595842,2.505861124311671,Dukovany,49.095556,16.134444,400.15
0-20000-0-11698,2138,0.09518072202890784,2.568903939890432,0.8758734155837071,1.3536950420954226,1.448875764124334,Kuchařovice,48.881111,16.085278,334
0-20000-0-11710,2117,0.06742781665290548,4.9576481310242055,0.886485670765813,3.0388285309400103,3.1062563475929004,Luká,49.652222,16.953333,510
0-20000-0-11723,1307,-0.04387862162494166,3.678346828542792,0.8524658002433756,2.2638102524866386,2.21993163086164,Brno  Tuřany,49.153056,16.688889,241
0-20000-0-11730,973,-64.03783976248884,112.63834107823622,0.7806978556454557,85.12836587872557,21.090526116236703,Šerák,50.1875,17.108333,1328
0-20000-0-11747,602,-0.024071539976743418,2.051367224022758,0.8158954643814539,0.6710963455149539,0.6470248055382076,Prostějov,49.4525,17.134722,214.75
0-20000-0-11766,2832,-10.184129933132306,31.345935304103058,0.8529318412809234,20.735416666666804,10.551286733534349,Červená,49.777222,17.541944,748.13
0-20000-0-11774,1336,0.6418256448502961,3.432100093005871,0.9124680594844374,2.2091317365269703,2.850957381377272,Holešov,49.320556,17.57,222.25
0-20000-0-11782,2324,0.1846529408529679,4.997241343197096,0.8689399955195211,2.765146299483679,2.949799240336603,Mošnov,49.691944,18.112778,252.8
0-20000-0-11787,2942,-64.32695979054564,117.5602973540139,0.8002413970772062,99.05299116247416,34.7260313719289,Lysá hora,49.546111,18.4475,1322.03
0-20000-0-11791,864,-3.4224497775664497,14.360089645898071,0.9035488996935551,6.596527777777798,3.1740780002113373,Hošťálková  Maruška,49.3653,17.8286,664.1
0-203-0-10101004001,167,1.4760287452814476,39.68521953008146,0.8366418521983913,43.624550898203616,45.10057964348502,Svatý Petr  Špindlerův Mlýn,50.7247,15.6278,870
0-203-0-10101014001,573,-13.889672884921362,41.657989593418925,0.851729900286863,26.1832460732984,12.293573188377076,Strážné,50.6634733,15.6136806,791
0-203-0-10101015001,213,16.22666000568545,39.5475993652643,0.880214962936855,59.00234741784039,75.22900742352583,Hříběcí boudy,50.6794,15.6281,840
0-203-0-10101015002,278,3.501698415899298,40.500800834698175,0.8950298587210079,48.06870503597124,51.570403451870504,Frantova bouda  Strážné,50.6761,15.6308,780
