hydro_year,n_stations,mean_swe_obs_median,mean_swe_mod_median,mean_swe_obs_mean,mean_swe_mod_mean,mean_swe_djfm_obs_median,mean_swe_djfm_mod_median,mean_swe_djfm_obs_mean,mean_swe_djfm_mod_mean,mean_swe_snow_obs_median,mean_swe_snow_mod_median,mean_swe_snow_obs_mean,mean_swe_snow_mod_mean,max_swe_obs_median,max_swe_mod_median,max_swe_obs_mean,max_swe_mod_mean,dohy_max_obs_median,dohy_max_mod_median,dohy_max_obs_mean,dohy_max_mod_mean,dohy_first_snow_obs_median,dohy_first_snow_mod_median,dohy_first_snow_obs_mean,dohy_first_snow_mod_mean,dohy_last_snow_obs_median,dohy_last_snow_mod_median,dohy_last_snow_obs_mean,dohy_last_snow_mod_mean,snow_duration_obs_median,snow_duration_mod_median,snow_duration_obs_mean,snow_duration_mod_mean,n_snow_weeks_obs_median,n_snow_weeks_mod_median,n_snow_weeks_obs_mean,n_snow_weeks_mod_mean,swe_days_obs_median,swe_days_mod_median,swe_days_obs_mean,swe_days_mod_mean
1977,217,2.3576923076923078,2.675971001764706,6.244761199256088,6.415138030571381,7.1625,7.891500055705883,13.994942316689063,16.013828236195348,16.080000000000002,15.589733872222222,23.00547620699171,21.764459872923762,28.0,26.61732,37.08248847926267,36.97798178953917,85.0,85.0,89.70491803278688,87.05882352941177,43.0,43.0,42.96174863387978,39.36274509803921,120.0,120.0,130.13661202185793,122.29901960784314,84.0,77.0,87.17486338797814,82.93627450980392,8.0,9.0,7.359447004608295,8.55299539170507,782.6000000000001,852.2894504992,1542.9354838709678,1704.6168706900696
1978,220,2.8236067503924644,3.101900875766466,8.603234443121814,9.812741092113937,7.5470588235294125,10.578144775833332,18.75197553055027,23.725377438486007,18.562499999999996,13.25446316666667,26.549903124725784,24.221802406557764,30.0,26.584612,42.77272727272727,42.06581884525455,105.0,112.0,99.86170212765957,99.2046511627907,35.0,28.0,39.98936170212766,30.051162790697674,119.0,119.0,126.33510638297872,124.30697674418604,84.0,91.0,86.34574468085107,94.25581395348837,8.0,11.0,8.0,10.604545454545455,794.85,907.4458841000001,2121.738181818182,2598.4762109068033
1979,232,4.959856215213358,5.59471017584893,7.3171167214964505,8.676169392792529,15.050000000000002,18.87744482,21.7334377036115,26.577474850014816,23.958333333333332,23.30232301666667,30.536139269339657,29.728134128646097,42.0,41.0602025,52.19655172413793,52.806055049905176,104.0,111.0,102.0,108.75877192982456,34.0,34.0,38.758620689655174,39.280701754385966,125.0,132.0,131.24137931034483,176.42543859649123,91.0,105.0,92.48275862068965,137.14473684210526,10.0,11.0,9.40948275862069,10.918103448275861,1559.25,1883.4724468910001,2350.9831896551723,2760.109182706576
1980,230,2.0984531772575252,1.8359796537630435,5.690626664017808,5.501056323129758,5.479638009049774,4.83982159145098,14.474273307007003,14.322688869600434,16.189999999999998,12.051218596666665,24.787935323477768,19.47798994895862,27.700000000000003,22.377014,42.549130434782604,34.12208093662913,89.0,89.0,97.46363636363637,90.04385964912281,61.0,22.5,50.69090909090909,34.53508771929825,134.5,131.0,136.12272727272727,133.1798245614035,91.0,77.0,85.43181818181819,98.64473684210526,6.0,7.0,7.456521739130435,8.795652173913043,712.25,630.141832236,1850.1426086956521,1787.1992336846215
1981,232,3.1517647058823526,3.2771089521215,7.279194725323066,7.261318857928652,9.7,10.131659772041669,21.775260467044507,21.473511103771557,19.025000000000002,16.60031381,30.10885558261843,26.741163463581476,37.2,32.646606,57.49008620689656,49.516138818965516,87.0,87.0,85.71615720524018,88.18181818181819,31.0,10.0,28.768558951965066,16.818181818181817,122.0,122.0,119.67685589519651,127.66666666666667,84.0,105.0,90.90829694323143,110.84848484848484,9.0,10.0,8.956896551724139,10.456896551724139,1080.1,1135.7559917935,2436.772413793103,2446.3964087296918
1982,233,3.83,6.06511494538,10.423874179803807,14.874852192441775,11.588461538461537,18.91859097404762,29.942298222751443,43.04565796343053,20.035416666666663,22.9470923,35.16588927521804,41.824644091388855,43.0,47.249004,64.53347639484979,70.0760607274678,58.0,58.0,62.40625,67.91416309012875,9.0,9.0,20.71875,19.545064377682404,93.0,121.0,116.09375,122.20171673819742,77.0,112.0,95.375,102.65665236051503,9.0,12.0,10.064377682403434,12.836909871244636,1314.6000000000001,2058.455482454,3519.0291845493566,4995.32911160978
1983,234,2.2902209492635026,2.1981108010679247,4.438331880317597,4.539483962902427,8.4,7.9260381825961534,14.39460101305878,15.026008082480205,20.66,15.849473833333333,25.937444184619622,21.803402119799443,36.35,29.4676245,47.14358974358974,38.72611319743589,106.0,113.0,109.36123348017621,110.26609442060087,50.0,50.0,64.27753303964758,54.65665236051502,120.0,127.0,123.6079295154185,126.09871244635193,70.0,77.0,59.330396475770925,71.44206008583691,5.0,7.0,6.555555555555555,7.923076923076923,813.4,775.2277890350001,1550.1081196581197,1572.8649361974788
1984,234,1.5731702127659575,1.3195129694744683,5.892329123063587,5.620193718585081,5.644652406417112,4.238487052511765,17.31589383446284,15.963708473943365,10.209469696969698,6.726654325,22.260597259057782,18.572811428643085,20.3,14.303123,42.92863247863247,33.51529155363248,105.0,105.0,94.1283185840708,96.78787878787878,35.0,35.0,39.491150442477874,35.121212121212125,126.0,126.0,123.0575221238938,127.60606060606061,91.0,91.0,83.56637168141593,92.48484848484848,9.0,10.0,8.867521367521368,10.047008547008547,539.0,452.6369813,2013.0324786324786,1919.2102191667268
1985,235,3.168085106382978,2.955160082755102,6.085946498615423,5.762468095342708,11.006993006993007,9.941279659294118,18.96767225725088,18.042298457159976,16.3625,13.08943734,23.759294331847595,20.64382397975622,28.8,22.987661,45.17574468085106,36.23969645544681,89.0,89.0,96.15021459227468,96.95726495726495,47.0,47.0,45.347639484978544,42.901709401709404,138.0,138.0,141.1244635193133,148.23076923076923,91.0,91.0,95.77682403433477,105.32905982905983,10.0,11.0,10.519148936170213,11.480851063829787,1098.3,1016.0524975860001,2076.5336170212768,1960.3932919737185
1986,235,3.372340425531915,3.8213934514285715,7.547556353343768,8.425686916781181,8.258928571428571,8.881253628235294,20.05613905935833,22.224064034372596,16.3,16.359783071428573,26.988014703202605,26.875128776035343,35.0,35.976913,53.394893617021275,50.046897351063826,32.0,32.0,62.283261802575105,63.14102564102564,18.0,18.0,19.38197424892704,18.568376068376068,123.0,130.0,129.57939914163092,136.22222222222223,105.0,112.0,110.19742489270386,117.65384615384616,11.0,12.0,10.851063829787234,12.417021276595746,1136.1,1296.954498,2588.436170212766,2891.3871431317775
