station_id,n_active_seasons,coverage,first_active,last_active,max_gap_seasons,median_obs,min_obs,max_obs,cv_obs,n_seasons_any_obs,ok_coverage,ok_gap,ok_starts_early,ok_ends_late,ok_density,ok_stability,selected,fail_reasons,period,n_seasons_in_period,station_name,latitude,longitude,elevation_m
0-203-0-11102036001,49,1.0,1976.0,2024.0,0,23.0,14.0,25.0,0.11433522368111951,49,True,True,True,True,True,True,True,,1976-2025,49,Bezvěrov,49.993664,13.054363,699.0
0-203-0-11301046001,49,1.0,1976.0,2024.0,0,22.0,10.0,26.0,0.15946478041953208,49,True,True,True,True,True,True,True,,1976-2025,49,Luby,50.256881,12.400238,524.0
0-203-0-11301161001,49,1.0,1976.0,2024.0,0,23.0,16.0,26.0,0.11392408589265472,49,True,True,True,True,True,True,True,,1976-2025,49,Nejdek,50.335684,12.715486,609.0
0-203-0-11401097301,49,1.0,1976.0,2024.0,0,22.0,10.0,26.0,0.193030812396778,49,True,True,True,True,True,True,True,,1976-2025,49,Dubí,50.68056,13.80214,402.0
0-203-0-11453,49,1.0,1976.0,2024.0,0,22.0,12.0,26.0,0.1616635236074649,49,True,True,True,True,True,True,True,,1976-2025,49,Hojsova Stráž,49.212473,13.197146,866.0
0-203-0-11483,49,1.0,1976.0,2024.0,0,22.0,16.0,26.0,0.10482630199530271,49,True,True,True,True,True,True,True,,1976-2025,49,Rožmitál pod Třemšínem,49.605,13.8664,524.0
0-203-0-11497,49,1.0,1976.0,2024.0,0,22.0,17.0,26.0,0.1005738945144118,49,True,True,True,True,True,True,True,,1976-2025,49,Husinec,49.0522,13.9883,483.0
0-203-0-11528,49,1.0,1976.0,2024.0,0,21.0,14.0,25.0,0.13023122011636898,49,True,True,True,True,True,True,True,,1976-2025,49,Nadějkov  Větrov,49.5169,14.4653,616.0
0-203-0-11542,49,1.0,1976.0,2024.0,0,23.0,17.0,26.0,0.07471603372852482,49,True,True,True,True,True,True,True,,1976-2025,49,České Budějovice  ul. S.K.Neumanna,48.9644,14.4672,388.0
0-203-0-11549,49,1.0,1976.0,2024.0,0,22.0,17.0,26.0,0.09973810951167256,49,True,True,True,True,True,True,True,,1976-2025,49,Vyšší Brod,48.6177092,14.3141131,559.0
0-203-0-11644,49,1.0,1976.0,2024.0,0,24.0,16.0,26.0,0.11148690280977158,49,True,True,True,True,True,True,True,,1976-2025,49,Benecko,50.6713,15.5499,780.0
0-203-0-11685,49,1.0,1976.0,2024.0,0,20.0,11.0,25.0,0.14359707769981928,49,True,True,True,True,True,True,True,,1976-2025,49,Nedvězí,49.6344,16.3097,722.0
0-203-0-11703,49,1.0,1976.0,2024.0,0,23.0,13.0,26.0,0.11228320211604609,49,True,True,True,True,True,True,True,,1976-2025,49,Staré Město pod Sněžníkem  Kunčice,50.1925131,16.943146,649.0
0-203-0-11765,49,1.0,1976.0,2024.0,0,23.0,11.0,26.0,0.15089228536744623,49,True,True,True,True,True,True,True,,1976-2025,49,Bělotín,49.5869,17.8042,306.0
0-203-0-11781,49,1.0,1976.0,2024.0,0,23.0,15.0,26.0,0.09732099459378067,49,True,True,True,True,True,True,True,,1976-2025,49,Bohumín  Záblatí,49.882,18.3692,237.0
0-203-0-11789,49,1.0,1976.0,2024.0,0,24.0,13.0,26.0,0.15308825656526612,49,True,True,True,True,True,True,True,,1976-2025,49,Huslenky  Kychová,49.3,18.1261,450.0
0-203-0-11790,49,1.0,1976.0,2024.0,0,21.0,15.0,25.0,0.11823037643177622,49,True,True,True,True,True,True,True,,1976-2025,49,Ostrava  Poruba,49.825331,18.15942,240.0
0-203-0-11792,49,1.0,1976.0,2024.0,0,23.0,12.0,26.0,0.15655833962560692,49,True,True,True,True,True,True,True,,1976-2025,49,Jablunkov  Návsí,49.5875,18.7503,380.0
