metric,n_stations,obs_median_slope_per_decade,obs_n_sig,obs_n_sig_neg,obs_n_sig_pos,obs_pct_sig_neg,mod_median_slope_per_decade,mod_n_sig,mod_n_sig_neg,mod_n_sig_pos,mod_pct_sig_neg,slope_agreement_r
mean_swe,62,-0.065,21,16,5,25.8,-0.172,31,31,0,50.0,0.497
mean_swe_djfm,62,-0.254,20,16,4,25.8,-0.577,39,39,0,62.9,0.39
mean_swe_snow,62,0.096,14,10,4,16.1,-0.505,12,12,0,19.4,0.421
max_swe,62,-0.434,10,6,4,9.7,-1.254,17,17,0,27.4,0.306
dohy_max,62,-1.339,2,2,0,3.2,-2.586,17,17,0,27.4,0.274
dohy_first_snow,62,1.651,10,0,10,0.0,0.585,4,0,4,0.0,0.625
dohy_last_snow,62,-2.927,16,16,0,25.8,-3.75,35,35,0,56.5,0.673
snow_duration,62,-3.889,24,24,0,38.7,-4.446,31,31,0,50.0,0.716
n_snow_weeks,62,-0.411,36,32,4,51.6,-0.645,40,39,1,62.9,0.904
swe_days,62,-24.698,20,15,5,24.2,-53.507,32,32,0,51.6,0.311
