metric,n_stations,obs_median_slope_per_decade,obs_n_sig,obs_n_sig_neg,obs_n_sig_pos,obs_pct_sig_neg,mod_median_slope_per_decade,mod_n_sig,mod_n_sig_neg,mod_n_sig_pos,mod_pct_sig_neg,slope_agreement_r
mean_swe,187,-0.133,75,65,9,34.8,-0.202,123,123,0,65.8,0.728
mean_swe_djfm,187,-0.39,68,58,9,31.0,-0.651,123,123,0,65.8,0.655
mean_swe_snow,187,-0.169,30,23,7,12.3,-0.603,47,47,0,25.1,0.636
max_swe,187,-1.171,52,39,12,20.9,-1.577,76,76,0,40.6,0.616
dohy_max,187,-2.059,10,10,0,5.3,-2.955,33,33,0,17.6,0.22
dohy_first_snow,187,2.143,37,0,37,0.0,1.667,30,0,30,0.0,0.492
dohy_last_snow,187,-4.736,95,95,0,50.8,-5.0,116,116,0,62.0,0.321
snow_duration,187,-6.463,105,105,0,56.1,-6.667,128,128,0,68.4,0.351
n_snow_weeks,187,-0.625,114,108,6,57.8,-0.833,138,137,1,73.3,0.852
swe_days,187,-45.5,81,70,9,37.4,-68.218,122,122,0,65.2,0.722
