station_id,hydro_year,n_obs,mean_swe_obs,mean_swe_djfm_obs,max_swe_obs,n_snow_weeks_obs,swe_days_obs,mean_swe_snow_obs,dohy_max_obs,dohy_first_snow_obs,dohy_last_snow_obs,snow_duration_obs,mean_swe_mod,mean_swe_djfm_mod,max_swe_mod,n_snow_weeks_mod,swe_days_mod,mean_swe_snow_mod,dohy_max_mod,dohy_first_snow_mod,dohy_last_snow_mod,snow_duration_mod,station_name,latitude,longitude,elevation_m
0-20000-0-11406,1997,13,8.7,12.166666666666666,23.0,8,791.6999999999999,14.1375,67.0,53.0,361.0,308.0,9.151394683076923,13.16463911111111,20.752493,7,832.77691616,16.925964571428572,81.0,53.0,95.0,42.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,1998,10,0.5799999999999998,0.5799999999999998,2.8,2,40.599999999999994,2.5999999999999996,94.0,87.0,94.0,7.0,1.1533801555,1.1533801555,3.791744,4,80.736610885,2.8232235,94.0,38.0,94.0,56.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,1999,10,2.41,3.5333333333333337,7.4,5,168.70000000000002,4.82,93.0,23.0,107.0,84.0,3.3424608769999997,4.77480011,12.050273,5,233.97226139,6.56153,37.0,23.0,107.0,84.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2000,21,1.880952380952381,2.3812499999999996,14.2,5,276.5,7.6,64.0,22.0,85.0,63.0,3.242697211428572,4.048935396875001,16.105768,7,476.6764900800001,9.470425585714285,64.0,22.0,113.0,91.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2002,12,14.016666666666666,14.016666666666666,48.0,6,1177.3999999999999,28.03333333333333,75.0,54.0,117.0,63.0,5.757354918000001,5.757354918000001,18.239134,5,483.6178131120001,13.621864980000002,75.0,54.0,82.0,28.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2003,46,2.0217391304347827,5.65,23.0,7,651.0,13.157142857142857,116.0,81.0,158.0,77.0,1.5946881524130432,4.5188122765625,19.11846,9,513.4895850769999,8.029993211111112,53.0,46.0,116.0,70.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2004,47,0.648936170212766,2.3461538461538463,11.2,4,213.5,7.425,87.0,59.0,101.0,42.0,1.2140967753404257,4.377902526230769,16.195112,6,399.43783908700004,9.29592505,73.0,59.0,101.0,42.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2005,52,2.348076923076923,7.168749999999999,26.4,11,854.6999999999999,11.1,134.0,22.0,134.0,112.0,1.8940699778846155,6.03554604375,13.9384775,11,689.44147195,8.9306269,134.0,22.0,134.0,112.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2006,48,3.6999999999999997,11.84,39.3,13,1243.2,13.661538461538461,105.0,49.0,133.0,84.0,7.441782019583333,23.7894736,42.56421,13,2500.43875858,27.44939261538461,105.0,49.0,133.0,84.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2007,52,0.2173076923076923,0.6647058823529413,11.3,1,79.10000000000001,11.3,90.0,90.0,90.0,0.0,0.21744029250000002,0.6559427982352941,10.726723,1,79.14826647000001,10.726723,90.0,90.0,90.0,0.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2008,49,0.24081632653061225,0.6352941176470589,6.5,3,82.60000000000001,3.8333333333333335,68.0,26.0,145.0,119.0,0.4834371719591836,0.8411366914117647,7.9027925,4,165.818949982,5.691099875000001,68.0,19.0,145.0,126.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2009,49,1.6653061224489796,4.8,19.0,7,571.1999999999999,11.657142857142857,115.0,24.0,115.0,91.0,1.9981221175510206,5.9902611839999995,21.648874,9,685.3558863200001,10.862568055555556,115.0,24.0,122.0,98.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2010,48,5.3125,18.214285714285715,61.0,10,1785.0,25.5,100.0,51.0,128.0,77.0,5.026180929166667,16.79490518571429,46.20178,11,1688.7967922000003,21.93242587272727,107.0,2.0,128.0,126.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2011,52,3.994230769230769,12.593749999999998,56.8,9,1453.8999999999999,23.044444444444444,57.0,29.0,106.0,77.0,8.756509586615383,27.611287285875,91.37642,12,3187.3694895279996,37.92036465,64.0,29.0,120.0,91.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2012,50,0.518,1.4733333333333332,8.1,6,181.3,4.316666666666667,105.0,49.0,364.0,315.0,0.5102935662,1.401493154,4.7220683,6,178.60274817,4.061462133333333,91.0,49.0,364.0,315.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2013,48,1.9395833333333332,6.6499999999999995,20.4,9,651.6999999999999,10.311111111111112,117.0,33.0,117.0,84.0,2.1094007458333337,7.232231128571429,21.192484,11,708.7586506000001,9.147083072727273,117.0,33.0,145.0,112.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2014,52,0.2826923076923077,0.8166666666666667,7.7,2,102.89999999999999,7.35,88.0,88.0,95.0,7.0,0.42412221749999995,1.2252419616666668,10.863833,3,154.38048716999998,7.1176642,95.0,74.0,95.0,21.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2015,50,0.786,2.311764705882353,14.8,5,275.1,7.859999999999999,94.0,59.0,101.0,42.0,1.43550579744,4.222075874823529,19.03483,7,502.427029104,10.247311457142857,101.0,31.0,115.0,84.0,Cheb,50.068333,12.391389,483.0
0-20000-0-11406,2016,51,0.47647058823529403,1.24375,10.5,4,170.09999999999997,6.075,86.0,23.0,86.0,63.0,0.5909664843137256,1.71219868125,11.602344,6,210.97503490000003,5.023215116666667,86.0,23.0,121.0,98.0,Cheb,50.068333,12.391389,483.0
