metric,n_stations,obs_median_slope_per_decade,obs_n_sig,obs_n_sig_neg,obs_n_sig_pos,obs_pct_sig_neg,mod_median_slope_per_decade,mod_n_sig,mod_n_sig_neg,mod_n_sig_pos,mod_pct_sig_neg,slope_agreement_r
mean_swe,235,-0.382,153,152,1,64.7,-0.4,195,195,0,83.0,0.766
mean_swe_djfm,235,-1.075,125,124,1,52.8,-1.252,189,189,0,80.4,0.705
mean_swe_snow,235,-0.8,51,49,2,20.9,-1.287,89,89,0,37.9,0.649
max_swe,235,-3.25,96,95,1,40.4,-3.043,124,124,0,52.8,0.67
dohy_max,235,-2.778,10,10,0,4.3,-2.727,30,30,0,12.8,0.295
dohy_first_snow,235,3.846,71,0,71,0.0,3.226,60,0,60,0.0,0.541
dohy_last_snow,235,-6.364,126,126,0,53.6,-5.263,107,107,0,45.5,0.39
snow_duration,235,-9.333,158,158,0,67.2,-8.235,153,153,0,65.1,0.508
n_snow_weeks,235,-1.0,181,179,1,76.2,-1.111,193,193,0,82.1,0.805
swe_days,235,-116.885,144,143,1,60.9,-121.193,190,190,0,80.9,0.763
