station_id,n_active_seasons,coverage,first_active,last_active,max_gap_seasons,median_obs,min_obs,max_obs,cv_obs,n_seasons_any_obs,ok_coverage,ok_gap,ok_starts_early,ok_ends_late,ok_density,ok_stability,selected,fail_reasons,period,n_seasons_in_period,station_name,latitude,longitude,elevation_m
0-20000-0-11457,59,1.0,1966.0,2024.0,0,23.0,17.0,26.0,0.08921742540866964,59,True,True,True,True,True,True,True,,1966-2025,59,Churáňov,49.068333,13.615278,1117.8
0-20000-0-11628,59,1.0,1966.0,2024.0,0,22.0,11.0,26.0,0.1691346506635423,59,True,True,True,True,True,True,True,,1966-2025,59,Košetice  Křešín  Kramolín,49.573504,15.08046,532.29
0-20000-0-11766,59,1.0,1966.0,2024.0,0,22.0,12.0,26.0,0.143828795993776,59,True,True,True,True,True,True,True,,1966-2025,59,Červená,49.777222,17.541944,748.13
0-20000-0-11787,59,1.0,1966.0,2024.0,0,24.0,16.0,26.0,0.09020497562975094,59,True,True,True,True,True,True,True,,1966-2025,59,Lysá hora,49.546111,18.4475,1322.03
0-203-0-10501025001,59,1.0,1966.0,2024.0,0,24.0,12.0,26.0,0.10284641088047544,59,True,True,True,True,True,True,True,,1966-2025,59,Jilemnice,50.6014,15.5125,462.0
0-203-0-10501036001,59,1.0,1966.0,2024.0,0,23.0,11.0,26.0,0.13189557733619892,59,True,True,True,True,True,True,True,,1966-2025,59,Nová Paka,50.49,15.5136,450.0
0-203-0-10601011001,59,1.0,1966.0,2024.0,0,22.0,13.0,26.0,0.13897865596659223,59,True,True,True,True,True,True,True,,1966-2025,59,Borová Lada,48.99055,13.661958,898.0
0-203-0-10601050001,59,1.0,1966.0,2024.0,0,23.0,13.0,26.0,0.15722820362408024,59,True,True,True,True,True,True,True,,1966-2025,59,Stožec,48.8570531,13.8217247,797.0
0-203-0-10801069001,59,1.0,1966.0,2024.0,0,21.0,15.0,26.0,0.11606862969372334,59,True,True,True,True,True,True,True,,1966-2025,59,Čachrov,49.264136,13.301694,729.0
0-203-0-10801117001,59,1.0,1966.0,2024.0,0,22.0,10.0,26.0,0.1340199941534062,59,True,True,True,True,True,True,True,,1966-2025,59,Chanovice,49.4031031,13.7176939,533.0
0-203-0-10802009001,59,1.0,1966.0,2024.0,0,20.0,10.0,26.0,0.17189677804464681,59,True,True,True,True,True,True,True,,1966-2025,59,Vimperk,49.0657822,13.7824278,637.0
0-203-0-10901012001,59,1.0,1966.0,2024.0,0,22.0,10.0,25.0,0.16532142033348715,59,True,True,True,True,True,True,True,,1966-2025,59,Nížkov,49.5325,15.8067,531.0
0-203-0-10901046001,59,1.0,1966.0,2024.0,0,24.0,13.0,26.0,0.10772298469464867,59,True,True,True,True,True,True,True,,1966-2025,59,Polná,49.4864,15.7061,490.0
0-203-0-10901110001,59,1.0,1966.0,2024.0,0,23.0,10.0,26.0,0.11957480787262506,59,True,True,True,True,True,True,True,,1966-2025,59,Světlá nad Sázavou,49.6728,15.4075,410.0
0-203-0-11001058001,59,1.0,1966.0,2024.0,0,22.0,13.0,26.0,0.14371442709603263,59,True,True,True,True,True,True,True,,1966-2025,59,Tři Sekery,49.943647,12.616463,672.0
0-203-0-11002086001,59,1.0,1966.0,2024.0,0,23.0,15.0,26.0,0.09267862314617732,59,True,True,True,True,True,True,True,,1966-2025,59,Chudenice,49.465405,13.176262,490.0
0-203-0-11002097001,59,1.0,1966.0,2024.0,0,24.0,15.0,26.0,0.09454451338934114,59,True,True,True,True,True,True,True,,1966-2025,59,Dnešice,49.601994,13.269301,378.0
0-203-0-11005011001,59,1.0,1966.0,2024.0,0,23.0,11.0,26.0,0.14806277358708228,59,True,True,True,True,True,True,True,,1966-2025,59,Žinkovy,49.486555,13.491503,475.0
0-203-0-11102023001,59,1.0,1966.0,2024.0,0,23.0,10.0,26.0,0.16613790101656906,59,True,True,True,True,True,True,True,,1966-2025,59,Žlutice,50.09822,13.160412,569.0
0-203-0-11102036001,59,1.0,1966.0,2024.0,0,23.0,14.0,25.0,0.11088856225656017,59,True,True,True,True,True,True,True,,1966-2025,59,Bezvěrov,49.993664,13.054363,699.0
0-203-0-11301161001,59,1.0,1966.0,2024.0,0,23.0,16.0,26.0,0.11487623840773928,59,True,True,True,True,True,True,True,,1966-2025,59,Nejdek,50.335684,12.715486,609.0
0-203-0-11401097301,59,1.0,1966.0,2024.0,0,22.0,10.0,26.0,0.21109633287693824,59,True,True,True,True,True,True,True,,1966-2025,59,Dubí,50.68056,13.80214,402.0
0-203-0-11483,59,1.0,1966.0,2024.0,0,23.0,16.0,26.0,0.10184137620525917,59,True,True,True,True,True,True,True,,1966-2025,59,Rožmitál pod Třemšínem,49.605,13.8664,524.0
0-203-0-11497,59,1.0,1966.0,2024.0,0,22.0,15.0,26.0,0.11354069373221856,59,True,True,True,True,True,True,True,,1966-2025,59,Husinec,49.0522,13.9883,483.0
0-203-0-11542,59,1.0,1966.0,2024.0,0,23.0,17.0,26.0,0.06952495903818351,59,True,True,True,True,True,True,True,,1966-2025,59,České Budějovice  ul. S.K.Neumanna,48.9644,14.4672,388.0
0-203-0-11549,59,1.0,1966.0,2024.0,0,22.0,14.0,26.0,0.10601440116530332,59,True,True,True,True,True,True,True,,1966-2025,59,Vyšší Brod,48.6177092,14.3141131,559.0
0-203-0-11765,59,1.0,1966.0,2024.0,0,23.0,11.0,26.0,0.14436618421243622,59,True,True,True,True,True,True,True,,1966-2025,59,Bělotín,49.5869,17.8042,306.0
0-203-0-11781,59,1.0,1966.0,2024.0,0,23.0,15.0,26.0,0.10647120830964733,59,True,True,True,True,True,True,True,,1966-2025,59,Bohumín  Záblatí,49.882,18.3692,237.0
0-203-0-11794,59,1.0,1966.0,2024.0,0,23.0,14.0,26.0,0.12038772061231962,59,True,True,True,True,True,True,True,,1966-2025,59,Horní Bečva,49.4311,18.2983,565.0
0-203-0-20101147002,59,1.0,1966.0,2024.0,0,23.0,12.0,26.0,0.15284493407163707,59,True,True,True,True,True,True,True,,1966-2025,59,Hukvaldy  Rychaltice,49.6428,18.2208,292.0
0-203-0-20408003001,59,1.0,1966.0,2024.0,0,22.0,10.0,25.0,0.1809946827032106,59,True,True,True,True,True,True,True,,1966-2025,59,Rumburk,50.95156,14.57086,390.0
