hydro_year,n_stations,mean_swe_obs_median,mean_swe_mod_median,mean_swe_obs_mean,mean_swe_mod_mean,mean_swe_djfm_obs_median,mean_swe_djfm_mod_median,mean_swe_djfm_obs_mean,mean_swe_djfm_mod_mean,mean_swe_snow_obs_median,mean_swe_snow_mod_median,mean_swe_snow_obs_mean,mean_swe_snow_mod_mean,max_swe_obs_median,max_swe_mod_median,max_swe_obs_mean,max_swe_mod_mean,dohy_max_obs_median,dohy_max_mod_median,dohy_max_obs_mean,dohy_max_mod_mean,dohy_first_snow_obs_median,dohy_first_snow_mod_median,dohy_first_snow_obs_mean,dohy_first_snow_mod_mean,dohy_last_snow_obs_median,dohy_last_snow_mod_median,dohy_last_snow_obs_mean,dohy_last_snow_mod_mean,snow_duration_obs_median,snow_duration_mod_median,snow_duration_obs_mean,snow_duration_mod_mean,n_snow_weeks_obs_median,n_snow_weeks_mod_median,n_snow_weeks_obs_mean,n_snow_weeks_mod_mean,swe_days_obs_median,swe_days_mod_median,swe_days_obs_mean,swe_days_mod_mean
1987,291,7.151020408163265,8.716260787000001,14.959029032630037,18.02088588944435,22.478571428571428,27.56659955625,42.9992066597491,50.44463861019551,31.543750000000003,34.1465084675,52.541184066707885,58.09452995959475,63.0,55.790115,89.92199312714776,89.62508709278352,94.0,101.0,99.59027777777777,114.54137931034482,52.0,52.0,52.34027777777778,51.58965517241379,136.0,143.0,139.76736111111111,144.85862068965517,91.0,91.0,87.42708333333333,93.26896551724138,12.0,13.0,11.711340206185566,12.81786941580756,2462.5999999999995,3007.0886692,5175.338144329897,6222.124346713565
1988,297,2.79,2.083242325380952,7.485813782616218,5.886862240235213,9.997916666666667,7.202053269205129,21.938532931777416,16.124373725810155,26.1,13.844144796666665,37.041608132471886,23.190746138222433,49.0,33.65872,78.71414141414141,55.04492197272727,135.0,135.0,130.8430034129693,130.64864864864865,79.0,72.0,77.47098976109216,64.05405405405405,142.0,142.0,152.65529010238907,157.98648648648648,56.0,70.0,75.18430034129693,93.93243243243244,6.0,7.0,6.569023569023569,7.976430976430977,952.6999999999999,673.556238145,2529.583164983165,1993.2629666005635
1989,302,0.2958758503401361,0.43565892599,3.9031920514968186,7.403158240517178,0.641875,0.8325488130203571,11.306412332824731,22.325664101055267,10.65,7.808562466666667,21.55539007130002,26.049039372899294,10.45,9.78274275,28.217880794701983,38.90473617794702,49.0,49.0,44.614107883817425,44.77454545454545,21.0,21.0,26.024896265560166,19.523636363636363,49.0,49.0,64.74273858921161,76.23636363636363,28.0,35.0,38.71784232365145,56.71272727272727,2.0,3.0,3.403973509933775,5.923841059602649,101.15,152.7811371905,1338.7754966887417,2508.992195558128
1990,303,0.8568627450980393,0.678324942,1.5038267370987635,1.2140705737832345,1.9330882352941177,1.6031620813541667,4.181346912107284,3.3085455400653774,12.84,8.48146525,15.680720344967655,11.321641073698654,18.4,10.565418,23.808250825082506,17.297530459768975,41.0,41.0,70.63082437275986,50.05172413793103,27.0,27.0,29.408602150537636,27.410344827586208,111.0,111.0,95.56989247311827,92.8,84.0,84.0,66.16129032258064,65.3896551724138,3.0,4.0,3.6468646864686467,4.247524752475248,291.90000000000003,240.804917458,493.5,402.5085803582913
1991,301,1.102,1.1545218690574468,2.7748623064865785,2.885815053429822,3.7470588235294118,4.139705523076923,8.734744739170672,9.192214741764182,12.15,9.932250999999999,16.292051152693475,13.453333221788391,19.3,16.432484,28.164784053156147,24.441725927906976,110.0,103.0,90.86195286195286,81.44186046511628,33.0,33.0,43.2996632996633,35.46511627906977,110.0,110.0,120.67676767676768,135.48837209302326,77.0,77.0,77.37710437710437,100.02325581395348,5.0,6.0,5.607973421926911,6.910299003322259,357.7,391.06926238100004,892.7720930232559,918.6880766815044
1992,303,1.358,1.448025915909091,7.096397972877158,8.842648691485676,3.775,4.533803555555555,18.41487867993328,23.813068779366144,13.4,10.936101648571428,26.54448798256898,26.774321789712175,20.0,19.058302,41.786798679867985,46.01374319273927,60.0,60.0,65.90874524714829,65.84137931034483,18.0,25.0,29.39163498098859,29.393103448275863,137.0,119.5,152.11787072243345,159.1103448275862,98.0,98.0,122.72623574144487,129.71724137931034,6.0,7.0,7.234323432343234,8.709570957095709,440.29999999999995,445.9919821,2357.53300330033,2902.5687699168216
1993,302,3.8868510638297877,3.366925348777778,5.927421690231462,5.089062478793737,13.373958333333334,11.6699748290625,18.5775962178431,16.040158006086557,22.97638888888889,16.9234465,27.23074847382257,20.025428823413655,44.1,34.017994,56.58377483443709,41.016601663675495,121.0,121.0,117.05369127516778,120.90666666666667,44.0,37.0,56.214765100671144,40.54666666666667,149.0,149.0,138.80536912751677,146.57333333333332,94.5,105.0,82.59060402684564,106.02666666666667,8.0,10.0,8.43046357615894,10.218543046357615,1267.35,1109.61839324,1992.8884105960267,1713.2830932187367
1994,292,1.2136363636363636,1.3024098323372728,5.94256286962428,6.369914210257172,1.6457013574660633,1.730697243298077,9.543622876503708,10.666969890088286,10.075000000000001,9.256708342857142,16.106180722559348,15.500500393918319,16.75,15.2942955,28.401369863013702,28.110639599267124,29.0,29.0,46.738351254480285,47.22456140350877,22.0,22.0,23.003584229390682,22.171929824561403,92.0,78.0,91.44802867383513,94.60350877192982,70.0,56.0,68.44444444444444,72.43157894736842,4.0,5.0,5.417808219178082,6.006849315068493,250.25,281.95041250074996,1146.3410958904108,1156.690890761347
1995,270,1.339222222222222,1.2634461564000001,7.442067781954902,7.194231874949221,4.265625,3.7858245341730763,12.725229096702135,12.2685091449952,14.5625,11.33627385,22.44691864870797,18.918110327815413,23.75,20.089731,42.017037037037035,36.460426573911114,77.0,77.0,78.6969696969697,80.0,56.0,56.0,56.84848484848485,50.578947368421055,84.0,84.0,108.5,108.86842105263158,28.0,49.0,51.65151515151515,58.28947368421053,4.0,5.0,5.214814814814815,6.059259259259259,408.79999999999995,349.6725808975,1465.8803703703704,1413.7838325798914
1996,301,7.797727272727273,10.441550882222222,14.179672133088566,19.94292154429758,17.980213903743316,21.166196548051943,23.697013373908227,32.6538163739303,20.5,20.13586396125,25.70829440366393,30.632292596013883,39.2,36.756397,54.11661129568107,52.85159030594684,125.0,132.0,115.90243902439025,115.54054054054055,6.0,6.0,22.609756097560975,15.43581081081081,139.0,146.0,138.73170731707316,144.2972972972973,126.0,133.0,116.1219512195122,128.86148648648648,13.0,15.0,12.053156146179402,14.245847176079733,1662.5000000000002,2097.51933328,2819.8697674418604,3856.726992370656
