station_id,n_active_seasons,coverage,first_active,last_active,max_gap_seasons,median_obs,min_obs,max_obs,cv_obs,n_seasons_any_obs,ok_coverage,ok_gap,ok_starts_early,ok_ends_late,ok_density,ok_stability,selected,fail_reasons,period,n_seasons_in_period,station_name,latitude,longitude,elevation_m
0-20000-0-11787,39,1.0,1986.0,2024.0,0,24.0,16.0,26.0,0.09303580529275746,39,True,True,True,True,True,True,True,,1986-2025,39,Lysá hora,49.546111,18.4475,1322.03
0-20000-0-11457,39,1.0,1986.0,2024.0,0,22.0,17.0,25.0,0.08753560510876582,39,True,True,True,True,True,True,True,,1986-2025,39,Churáňov,49.068333,13.615278,1117.8
0-203-0-10801005002,39,1.0,1986.0,2024.0,0,24.0,18.0,26.0,0.07553221792676332,39,True,True,True,True,True,True,True,,1986-2025,39,Filipova Huť,49.0298283,13.5197133,1110.0
0-203-0-10601002002,39,1.0,1986.0,2024.0,0,23.0,12.0,26.0,0.1301709646451677,39,True,True,True,True,True,True,True,,1986-2025,39,Kvilda,49.0192,13.5792,1059.0
0-203-0-40201003001,39,1.0,1986.0,2024.0,0,24.0,17.0,26.0,0.08306505319224898,39,True,True,True,True,True,True,True,,1986-2025,39,Špičák,49.169506,13.215816,973.0
0-203-0-10801017001,38,0.9743589743589743,1986.0,2024.0,1,21.0,11.0,26.0,0.13930498172012307,39,True,True,True,True,True,True,True,,1986-2025,39,Srní  Vchynice - Tetov I,49.0606156,13.5041194,930.0
0-203-0-10601011001,39,1.0,1986.0,2024.0,0,21.0,13.0,26.0,0.14498558050498686,39,True,True,True,True,True,True,True,,1986-2025,39,Borová Lada,48.99055,13.661958,898.0
0-203-0-11302057001,39,1.0,1986.0,2024.0,0,22.0,16.0,25.0,0.1199997609568896,39,True,True,True,True,True,True,True,,1986-2025,39,Abertamy,50.367742,12.816447,893.0
0-203-0-10801028001,39,1.0,1986.0,2024.0,0,23.0,19.0,26.0,0.08575545185457452,39,True,True,True,True,True,True,True,,1986-2025,39,Prášily,49.1069,13.3786,883.0
0-203-0-11453,39,1.0,1986.0,2024.0,0,21.0,12.0,26.0,0.17161746923390822,39,True,True,True,True,True,True,True,,1986-2025,39,Hojsova Stráž,49.212473,13.197146,866.0
0-20000-0-11464,38,0.9743589743589743,1986.0,2024.0,1,20.0,11.0,25.0,0.17589937952638612,39,True,True,True,True,True,True,True,,1986-2025,39,Milešovka,50.555,13.93083,830.5
0-20000-0-11643,38,0.9743589743589743,1987.0,2024.0,1,22.0,12.0,26.0,0.15304012689360288,38,True,True,True,True,True,True,True,,1986-2025,39,Pec pod Sněžkou,50.691944,15.728889,816.3
0-203-0-11401020001,38,0.9743589743589743,1986.0,2023.0,1,22.0,10.0,26.0,0.15981953662099752,38,True,True,True,True,True,True,True,,1986-2025,39,Klíny,50.63875,13.55153,807.0
0-203-0-10601050001,39,1.0,1986.0,2024.0,0,22.0,13.0,26.0,0.1612517747380714,39,True,True,True,True,True,True,True,,1986-2025,39,Stožec,48.8570531,13.8217247,797.0
0-203-0-10803008001,37,0.9487179487179487,1986.0,2024.0,1,21.0,14.0,25.0,0.13015284704171515,39,True,True,True,True,True,True,True,,1986-2025,39,Zbytiny,48.92618,13.9691961,792.0
0-203-0-11644,39,1.0,1986.0,2024.0,0,24.0,17.0,26.0,0.09661271568035609,39,True,True,True,True,True,True,True,,1986-2025,39,Benecko,50.6713,15.5499,780.0
0-203-0-11602,38,0.9743589743589743,1986.0,2024.0,1,22.0,15.0,25.0,0.11806176918871712,39,True,True,True,True,True,True,True,,1986-2025,39,Bedřichov,50.81511,15.13708,777.0
0-203-0-10601152001,38,0.9743589743589743,1986.0,2024.0,1,21.0,10.0,26.0,0.13648940172624757,39,True,True,True,True,True,True,True,,1986-2025,39,Slavkov,48.7642081,14.2431344,777.0
0-203-0-20202005001,39,1.0,1986.0,2024.0,0,19.0,10.0,26.0,0.15742514223359835,39,True,True,True,True,True,True,True,,1986-2025,39,Malá Morávka  Karlov,50.025278,17.259444,775.0
0-203-0-20201004001,38,0.9743589743589743,1986.0,2024.0,1,22.5,13.0,26.0,0.14999543789359657,39,True,True,True,True,True,True,True,,1986-2025,39,Vidly,50.1056,17.2717,774.0
0-203-0-10602029002,38,0.9743589743589743,1987.0,2024.0,1,22.0,11.0,25.0,0.16204948991611634,39,True,True,True,True,True,True,True,,1986-2025,39,Pohorská Ves,48.6701047,14.6489614,773.0
0-203-0-11605,39,1.0,1986.0,2024.0,0,22.0,13.0,25.0,0.12814988948053552,39,True,True,True,True,True,True,True,,1986-2025,39,Desná  Souš,50.789354,15.319286,772.0
0-203-0-20301001001,37,0.9487179487179487,1986.0,2024.0,2,23.0,16.0,26.0,0.09854991705554801,37,True,True,True,True,True,True,True,,1986-2025,39,Bílá  Hlavatá,49.421292,18.37984,770.0
0-203-0-40201004001,39,1.0,1986.0,2024.0,0,23.0,16.0,26.0,0.10798482006030387,39,True,True,True,True,True,True,True,,1986-2025,39,Železná Ruda,49.138245,13.228729,754.0
0-20000-0-11766,39,1.0,1986.0,2024.0,0,22.0,16.0,26.0,0.10052766449779457,39,True,True,True,True,True,True,True,,1986-2025,39,Červená,49.777222,17.541944,748.13
0-20000-0-11423,39,1.0,1986.0,2024.0,0,22.0,12.0,25.0,0.15929284214098297,39,True,True,True,True,True,True,True,,1986-2025,39,Přimda,49.669444,12.678056,742.76
0-203-0-11503029001,39,1.0,1986.0,2024.0,0,22.0,10.0,25.0,0.18353589021699632,39,True,True,True,True,True,True,True,,1986-2025,39,Český Jiřetín  Fláje,50.68706,13.58558,740.0
0-203-0-20404085001,39,1.0,1986.0,2024.0,0,23.0,12.0,26.0,0.13564169934970646,39,True,True,True,True,True,True,True,,1986-2025,39,Ostružná  Ramzová,50.197223,17.065201,740.0
0-203-0-11302113001,37,0.9487179487179487,1986.0,2024.0,1,20.0,11.0,25.0,0.18236316131920777,38,True,True,True,True,True,True,True,,1986-2025,39,Výsluní,50.46428,13.23853,738.0
0-203-0-10802017001,38,0.9743589743589743,1986.0,2024.0,1,21.0,10.0,26.0,0.16851671568528692,39,True,True,True,True,True,True,True,,1986-2025,39,Vacov  Peckov,49.1352075,13.7263994,738.0
0-20000-0-11683,37,0.9487179487179487,1986.0,2024.0,1,20.0,11.0,25.0,0.21172740828726463,39,True,True,True,True,True,True,True,,1986-2025,39,Svratouch,49.735,16.034167,734.0
0-203-0-10601115201,38,0.9743589743589743,1986.0,2024.0,1,21.0,15.0,26.0,0.12327685774592821,39,True,True,True,True,True,True,True,,1986-2025,39,Lipno,48.6336,14.2383,730.0
0-203-0-10801069001,39,1.0,1986.0,2024.0,0,21.0,15.0,26.0,0.11653785339126503,39,True,True,True,True,True,True,True,,1986-2025,39,Čachrov,49.264136,13.301694,729.0
0-203-0-11793,37,0.9487179487179487,1986.0,2022.0,2,21.0,14.0,25.0,0.10106200602179295,38,True,True,True,True,True,True,True,,1986-2025,39,Bílá  Salajka,49.4132897,18.4206592,725.0
0-203-0-11432,38,0.9743589743589743,1986.0,2024.0,1,22.0,15.0,26.0,0.10388770708878553,39,True,True,True,True,True,True,True,,1986-2025,39,Nová Ves v Horách,50.59244,13.48561,725.0
0-203-0-11685,39,1.0,1986.0,2024.0,0,20.0,11.0,25.0,0.14857319391695142,39,True,True,True,True,True,True,True,,1986-2025,39,Nedvězí,49.6344,16.3097,722.0
0-203-0-41001004001,36,0.9230769230769231,1987.0,2024.0,2,23.0,10.0,26.0,0.14655772736634706,37,True,True,True,True,True,True,True,,1986-2025,39,Malá Morava  Sklené,50.12165,16.841956,701.0
0-203-0-11102036001,39,1.0,1986.0,2024.0,0,22.0,14.0,25.0,0.11990769229403206,39,True,True,True,True,True,True,True,,1986-2025,39,Bezvěrov,49.993664,13.054363,699.0
0-203-0-11413,39,1.0,1986.0,2024.0,0,21.0,13.0,26.0,0.17973772767873314,39,True,True,True,True,True,True,True,,1986-2025,39,Mariánské Lázně  vodárna,49.990619,12.695966,696.0
0-203-0-10602014001,38,0.9743589743589743,1986.0,2024.0,1,21.5,10.0,25.0,0.13829364903644886,39,True,True,True,True,True,True,True,,1986-2025,39,Malonty,48.6854828,14.5802869,694.0
0-203-0-11401,38,0.9743589743589743,1986.0,2024.0,1,22.0,11.0,26.0,0.18635901198016344,39,True,True,True,True,True,True,True,,1986-2025,39,Aš,50.220602,12.179572,675.0
0-203-0-11001058001,39,1.0,1986.0,2024.0,0,22.0,13.0,26.0,0.15477364471297508,39,True,True,True,True,True,True,True,,1986-2025,39,Tři Sekery,49.943647,12.616463,672.0
0-203-0-20201038001,39,1.0,1986.0,2024.0,0,22.0,12.0,26.0,0.16312466789557326,39,True,True,True,True,True,True,True,,1986-2025,39,Heřmanovice,50.1985,17.3816,665.0
0-203-0-10602028001,39,1.0,1986.0,2024.0,0,22.0,11.0,25.0,0.14145606421928597,39,True,True,True,True,True,True,True,,1986-2025,39,Benešov nad Černou,48.7311,14.6283,665.0
0-203-0-11674,39,1.0,1986.0,2024.0,0,23.0,12.0,26.0,0.15840630113996296,39,True,True,True,True,True,True,True,,1986-2025,39,Deštné v Orlic. horách,50.306667,16.351959,656.0
