elev_band,n_stations,max_swe_obs_mean,max_swe_bias,max_swe_rmse,max_swe_r,mean_swe_obs_mean,mean_swe_bias,mean_swe_rmse,mean_swe_r,snow_duration_obs_mean,snow_duration_bias,snow_duration_rmse,snow_duration_r,dohy_max_obs_mean,dohy_max_bias,dohy_max_rmse,dohy_max_r
0-400 m,67,22.48,2.6,16.22,0.81,2.22,1.18,3.02,0.893,55.26,17.8,44.56,0.577,84.74,-0.2,25.54,0.694
400-600 m,95,35.06,-0.54,21.0,0.792,4.1,1.13,4.08,0.888,68.83,18.46,48.6,0.596,88.32,0.54,25.49,0.694
600-800 m,20,94.16,-21.83,57.77,0.761,16.72,-2.08,12.36,0.839,112.34,11.91,59.82,0.64,96.5,0.84,28.26,0.602
800-1000 m,2,92.15,-4.56,66.38,0.799,19.45,3.39,22.96,0.87,132.22,-20.06,78.99,0.439,97.03,2.59,38.85,0.478
1000-+ m,3,271.49,-97.65,129.12,0.81,70.24,-25.66,40.69,0.849,212.28,-5.92,64.33,0.785,119.5,-3.92,26.94,0.679
